Class,STRUTS_2_0_10,STRUTS_2_0_14,STRUTS_2_1_0,STRUTS_2_1_8,STRUTS_2_2_0,STRUTS_2_2_3,STRUTS_2_3_1,STRUTS_2_3_10,STRUTS_2_3_20,STRUTS_2_3_30,STRUTS_2_3_37,STRUTS_2_5,STRUTS_2_5_10,STRUTS_2_5_20,STRUTS_2_5_30,STRUTS_6_0_0,average
apps/portlet/src/main/java/org/apache/struts2/portlet/example/spring/ThingManager.java,29,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,4.1875
plugins/tiles/src/main/java/org/apache/struts2/tiles/StrutsWildcardServletApplicationContext.java,0,0,0,0,0,0,0,0,0,0,0,135,6,10,0,6,9.8125
core/src/main/java/com/opensymphony/xwork2/validator/validators/RepopulateConversionErrorFieldValidatorSupport.java,0,0,0,0,0,0,0,0,0,0,0,199,0,29,0,7,14.6875
core/src/test/java/com/opensymphony/xwork2/interceptor/annotations/ShortcircuitedAction.java,0,0,0,0,0,0,0,0,0,0,0,35,0,29,0,0,4
trunk/core/src/test/java/org/apache/struts2/spring/StrutsSpringObjectFactoryTest.java,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0625
core/src/main/java/com/opensymphony/xwork2/conversion/impl/DefaultTypeConverterHolder.java,0,0,0,0,0,0,0,0,0,0,0,97,0,18,0,115,14.375
trunk/core/src/main/java/org/apache/struts2/views/velocity/components/TreeDirective.java,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
trunk/core/src/main/java/org/apache/struts2/views/velocity/components/BeanDirective.java,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4375
xwork-core/src/main/java/com/opensymphony/xwork2/security/DefaultAcceptedPatternsChecker.java,0,0,0,0,0,0,0,0,84,0,0,84,0,0,0,0,10.5
trunk/apps/showcase/src/main/java/org/apache/struts2/showcase/tag/nonui/actionPrefix/SubmitAction.java,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.375
plugins/junit/src/test/java/org/apache/struts2/StrutsSpringTestCaseTest.java,0,0,0,29,0,0,2,0,0,0,0,0,0,2,0,0,2.0625
core/src/main/java/com/opensymphony/xwork2/interceptor/ValidationErrorAware.java,0,0,0,0,0,0,0,0,0,0,0,38,0,26,0,0,4
core/src/main/java/com/opensymphony/xwork2/validator/Validator.java,0,0,0,0,0,0,0,0,0,0,0,486,0,30,0,0,32.25
plugins/codebehind/src/test/java/org/apache/struts2/config/AnotherAnnotatedObject.java,0,0,26,3,0,0,0,0,0,0,0,27,0,0,0,0,3.5
plugins/embeddedjsp/src/main/java/org/apache/struts2/el/parser/AstGreaterThanEqual.java,0,0,0,0,47,0,0,0,0,0,0,0,0,28,0,0,4.6875
core/src/main/java/com/opensymphony/xwork2/util/profiling/ProfilingTimerBean.java,0,0,0,0,0,0,0,0,0,0,0,107,0,22,0,129,16.125
xwork-core/src/test/java/com/opensymphony/xwork2/TestNGXWorkTestCaseTest.java,0,0,0,0,52,0,0,0,1,0,0,53,0,0,0,0,6.625
core/src/main/java/org/apache/struts2/sitemesh/FreeMarkerPageFilter.java,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.125
trunk/core/src/main/java/org/apache/struts2/components/TextArea.java,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
apps/showcase/src/main/java/org/apache/struts2/showcase/token/TokenAction.java,37,0,0,2,0,0,0,77,0,0,0,0,0,0,0,0,7.25
trunk/core/src/main/java/org/apache/struts2/views/jsp/ui/HiddenTag.java,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4375
