Class,rel/0.18.0,rel/0.19.0,rel/0.20.0,rel/0.90.0,rel/0.92.0,rel/0.94.0,rel/0.96.0,rel/0.98.0,rel/0.99.0,rel/1.0.0,rel/1.1.0,rel/1.2.0,rel/1.3.0,rel/1.4.0,rel/1.5.0,rel/1.6.0,rel/1.7.0,rel/2.0.0,rel/2.1.0,rel/2.2.0,rel/2.3.0,rel/2.4.0,rel/3.0.0-alpha-1,rel/3.0.0-alpha-3,average
hbase-balancer/src/main/java/org/apache/hadoop/hbase/master/balancer/RegionCountSkewCostFunction.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,20,3.958333333
src/java/org/apache/hadoop/hbase/thrift/generated/ScanEntry.java,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.375
trunk/src/test/java/org/apache/hadoop/hbase/regionserver/TestResettingCounters.java,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333
hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/expression/NonLeafExpressionNode.java,0,0,0,0,0,0,0,102,0,7,0,0,0,1,0,0,0,6,0,0,0,0,0,3,4.958333333
hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestFromClientSide4.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354,0,73,194,67.54166667
hbase-server/src/test/java/org/apache/hadoop/hbase/snapshot/TestExportSnapshot.java,0,0,0,0,0,0,332,0,316,2,1,15,7,1,0,0,6,434,0,0,0,0,0,0,46.41666667
src/java/org/apache/hadoop/hbase/regionserver/KeyValueSkipListSet.java,0,0,204,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
hbase-hadoop-compat/src/test/java/org/apache/hadoop/hbase/HadoopShims.java,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.041666667
hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/VisibilityLabelService.java,0,0,0,0,0,0,0,0,142,69,0,0,0,0,0,0,0,28,0,0,0,0,0,121,15
hbase-common/src/test/java/org/apache/hadoop/hbase/TestIndividualBytesFieldCell.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,171,19.08333333
trunk/src/test/java/org/apache/hadoop/hbase/replication/regionserver/TestReplicationSourceManager.java,0,0,0,248,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.66666667
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestRegionServerMetrics.java,0,0,0,0,0,0,360,0,74,118,66,67,162,45,1,0,46,821,4,3,23,0,153,98,85.04166667
hbase-client/src/main/java/org/apache/hadoop/hbase/regionserver/InvalidMutationDurabilityException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,1.958333333
hbase-server/src/test/java/org/apache/hadoop/hbase/TestTagRewriteCell.java,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,31,9,0,0,0,9,25,5.083333333
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/Chunk.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,5,0,44,9.666666667
