Class,activemq-4.1.0,activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-5.3.0,activemq-5.4.0,activemq-5.5.0,activemq-5.6.0,activemq-5.7.0,activemq-5.8.0,activemq-5.9.0,activemq-5.10.0,activemq-5.11.0,activemq-5.12.0,activemq-5.13.0,activemq-5.14.0,activemq-5.15.0,activemq-5.16.0,activemq-5.17.0,average
activemq-core/src/main/java/org/apache/activemq/openwire/v8/TransactionIdMarshaller.java,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.105263158
activemq-ra/src/test/java/org/apache/activemq/ra/ActiveMQActivationSpecTest.java,11,11,0,0,0,0,2,0,0,0,0,0,0,109,0,0,0,0,0,7
activemq-core/src/test/java/org/apache/activemq/openwire/v8/ProducerIdTest.java,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.105263158
activemq-client/src/test/java/org/apache/activemq/util/XASupportTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,4.315789474
activemq-broker/src/main/java/org/apache/activemq/network/DiscoveryNetworkConnector.java,0,0,0,0,0,0,0,0,0,269,52,4,0,0,0,13,0,8,4,18.42105263
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v2/MessageDispatchMarshaller.java,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,7.578947368
activemq-core/src/main/java/org/apache/activemq/transport/stomp/ResponseListener.java,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.526315789
activemq-unit-tests/src/test/java/org/apache/activemq/openwire/v5/ReplayCommandTest.java,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,3
activemq-amqp/src/test/java/org/apache/activemq/transport/amqp/auto/JMSClientAutoNioPlusSslTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,2.631578947
activemq-broker/src/main/java/org/apache/activemq/broker/util/JMXAuditLogEntry.java,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,20,0,2.473684211
activemq-tooling/activemq-junit/src/main/java/org/apache/activemq/junit/ActiveMQTestRunner.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,6.105263158
activemq-client/src/main/java/org/apache/activemq/openwire/v8/ConnectionControlMarshaller.java,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.105263158
activemq-unit-tests/src/test/java/org/apache/activemq/openwire/v6/ConnectionIdTest.java,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,2.947368421
activemq-amqp/src/test/java/org/apache/activemq/transport/amqp/protocol/AmqpTransferTagGeneratorTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,9.789473684
activemq-unit-tests/src/test/java/org/apache/activemq/bugs/OptimizeAcknowledgeWithExpiredMsgsTest.java,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,16.42105263
activemq-client/src/main/java/org/apache/activemq/openwire/v9/DiscoveryEventMarshaller.java,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.052631579
activemq-broker/src/main/java/org/apache/activemq/security/TempDestinationAuthorizationEntry.java,0,0,0,0,0,0,0,0,0,35,0,0,15,0,0,0,0,0,0,2.631578947
activemq-tooling/maven-activemq-perf-plugin/src/main/java/org/apache/activemq/tool/properties/JmsFactoryProperties.java,35,3,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3.789473684
activemq-core/src/test/java/org/apache/activemq/openwire/v3/LocalTransactionIdTest.java,0,51,0,0,0,0,2,0,0,51,0,0,0,0,0,0,0,0,0,5.473684211
activemq-unit-tests/src/test/java/org/apache/activemq/security/JaasDualAuthenticationNetworkBridgeTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,8,0,0,7.526315789
activemq-systest/src/main/java/org/apache/activemq/systest/ScenarioTestCase.java,11,3,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.578947368
activemq-client/src/main/java/org/apache/activemq/openwire/v10/BrokerInfoMarshaller.java,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,10.84210526
activemq-client/src/main/java/org/apache/activemq/openwire/v12/ConnectionIdMarshaller.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,6.789473684
activemq-broker/src/main/java/org/apache/activemq/broker/region/virtual/VirtualTopicInterceptor.java,0,0,0,0,0,0,0,0,0,66,25,0,0,95,8,13,0,24,2,12.26315789
activemq-broker/src/main/java/org/apache/activemq/broker/region/QueueSubscription.java,0,0,0,0,0,0,0,0,0,118,37,0,8,0,0,0,2,0,0,8.684210526
activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOMaxFrameSizeCleanupTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,8.105263158
activemq-unit-tests/src/test/java/org/apache/activemq/usecases/PriorityRedeliveryOrderTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,11.05263158
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQTopic.java,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,3.157894737
activemq-unit-tests/src/test/java/org/apache/activemq/openwire/v1/BrokerIdTest.java,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,2.526315789
kahadb/src/main/java/org/apache/kahadb/util/IntrospectionSupport.java,0,0,0,0,300,0,0,0,0,300,0,0,0,0,0,0,0,0,0,31.57894737
activemq-core/src/main/java/org/apache/activemq/state/ConnectionStateTracker.java,189,525,72,2,32,168,51,14,6,691,0,0,0,0,0,0,0,0,0,92.10526316
activemq-broker/src/main/java/org/apache/activemq/broker/region/policy/IndividualDeadLetterStrategy.java,0,0,0,0,0,0,0,0,0,170,15,0,0,14,0,0,0,0,0,10.47368421
activemq-client/src/main/java/org/apache/activemq/openwire/v9/SubscriptionInfoMarshaller.java,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.052631579
activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ4487Test.java,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,7.105263158
activemq-broker/src/main/java/org/apache/activemq/broker/Broker.java,0,0,0,0,0,0,0,0,0,390,85,0,8,18,5,0,4,0,0,26.84210526
activemq-unit-tests/src/test/java/org/apache/activemq/transport/tcp/TcpFaultyTransportFactory.java,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,5.105263158
