Class,cxf-2.2,cxf-2.3.0,cxf-2.4.0,cxf-2.5.0,cxf-2.6.0,cxf-2.7.0,cxf-3.0.0,cxf-3.1.0,cxf-3.2.0,cxf-3.3.0,cxf-3.4.0,cxf-3.5.0,cxf-3.5.3,average
api/src/main/java/org/apache/cxf/staxutils/transform/ParsingEvent.java,0,0,0,0,65,0,65,0,0,0,0,0,0,10
rt/rs/security/oauth-parent/oauth2/src/main/java/org/apache/cxf/rs/security/oauth2/client/OAuthClientUtils.java,0,0,0,0,255,90,187,61,182,6,53,0,0,64.15384615
rt/rs/security/jose/src/main/java/org/apache/cxf/rs/security/jose/jwe/ContentEncryptionCipherProperties.java,0,0,0,0,0,0,0,30,30,0,0,0,0,4.615384615
systests/jaxws/src/test/java/org/apache/cxf/systest/dispatch/DispatchClientServerWithHugeResponseTest.java,0,0,209,0,41,18,2,56,70,13,263,0,0,51.69230769
services/sts/sts-core/src/main/java/org/apache/cxf/sts/token/provider/SubjectProvider.java,0,0,0,35,0,0,2,0,5,0,0,0,0,3.230769231
integration/tracing/tracing-brave/src/main/java/org/apache/cxf/tracing/brave/BraveTracerContext.java,0,0,0,0,0,0,0,0,110,21,2,0,0,10.23076923
integration/tracing/tracing-brave/src/test/java/org/apache/cxf/tracing/brave/BraveTracerContextTest.java,0,0,0,0,0,0,0,0,0,63,0,0,0,4.846153846
rt/databinding/aegis/src/test/java/org/apache/cxf/aegis/custom/service/ServiceImpl.java,78,0,0,0,0,0,0,1,10,2,0,0,0,7
rt/rs/security/oauth-parent/oauth2/src/main/java/org/apache/cxf/rs/security/oauth2/client/ClientCodeStateManager.java,0,0,0,0,0,0,0,30,8,0,0,0,0,2.923076923
rt/transports/http-hc/src/main/java/org/apache/cxf/transport/http/asyncclient/AsyncHTTPConduit.java,0,0,0,0,0,799,316,88,265,53,34,5,3,120.2307692
rt/ws/policy/src/test/java/org/apache/cxf/ws/policy/PolicyEngineImplInitTest.java,0,0,63,0,0,0,0,0,2,4,0,0,0,5.307692308
rt/security/src/test/java/org/apache/cxf/rt/security/claims/interceptor/ClaimsAuthorizingInterceptorTest.java,0,0,0,0,0,0,0,0,0,416,2,0,0,32.15384615
systests/src/test/java/org/apache/cxf/systest/ws/addr_disable/WSADisableTest.java,2,97,0,0,0,0,0,0,0,0,0,0,0,7.615384615
distribution/src/main/release/samples/configuration_interceptor/src/main/java/demo/stream/interceptor/StreamInterceptor.java,0,0,0,100,0,0,0,0,12,0,0,0,0,8.615384615
rt/bindings/corba/src/main/java/org/apache/cxf/binding/corba/types/CorbaArrayEventProducer.java,0,0,0,0,0,0,0,0,0,1,0,0,0,0.076923077
rt/databinding/aegis/src/test/java/org/apache/cxf/aegis/custom/types/NoDefaultConstructorBeanType.java,91,10,0,0,0,0,0,0,0,0,0,0,0,7.769230769
rt/rs/client/src/main/java/org/apache/cxf/jaxrs/client/cache/CacheControlFeature.java,0,0,0,0,0,0,0,137,5,0,0,2,0,11.07692308
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/websocket/JAXRSClientServerWebSocketSpringWebAppTest.java,0,0,0,0,0,0,79,30,8,2,5,11,0,10.38461538
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/reactive/CompletableFutureServer.java,0,0,0,0,0,0,0,0,120,0,1,37,0,12.15384615
api/src/main/java/org/apache/cxf/wsdl/EndpointReferenceUtils.java,173,246,123,36,16,112,1101,0,0,0,0,0,0,139
systests/uncategorized/src/test/java/org/apache/cxf/systest/mtom/TestAttachmentOutInterceptor.java,0,45,0,0,0,0,0,0,2,1,0,0,0,3.692307692
systests/ws-security/src/test/java/org/apache/cxf/systest/ws/saml/subjectconf/StaxServer.java,0,0,0,0,0,0,0,47,0,0,0,0,0,3.615384615
