Class,drill-0.4.0,drill-0.7.0,drill-0.8.0,drill-0.9.0,drill-1.0.0,drill-1.1.0,drill-1.2.0,drill-1.3.0,drill-1.4.0,drill-1.5.0,drill-1.6.0,drill-1.7.0,drill-1.8.0,drill-1.9.0,drill1.10.0,drill-1.11.0,drill-1.12.0,drill-1.13.0,drill-1.14.0,drill-1.15.0,drill-1.16.0,drill-1.17.0,drill-1.18.0,drill-1.19.0,drill-1.20.0,average
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/xsort/managed/MSorter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,5,4,0,0,0,0,41,0,0,3.84
exec/java-exec/src/main/java/org/apache/drill/exec/store/mock/MockScanBatchCreator.java,2,0,0,0,3,0,10,0,0,0,0,0,0,0,13,0,2,12,0,2,0,72,4,0,0,4.8
exec/java-exec/src/main/java/org/apache/drill/exec/resourcemgr/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0.84
exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/text/compliant/StreamFinishedPseudoException.java,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,29,0,0,0,2.4
exec/java-exec/src/test/java/org/apache/drill/test/rowSet/test/TestVariableWidthWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,1,4,8,419,0,0,0,34
exec/java-exec/src/test/java/org/apache/drill/test/rowSet/RowSetWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,120,0,0,0,9.6
metastore/mongo-metastore/src/main/java/org/apache/drill/metastore/mongo/transform/OutputDataTransformer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,3.4
exec/java-exec/src/main/java/org/apache/drill/exec/physical/config/RangeSender.java,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,73,0,0,0,0,0,3.92
exec/java-exec/src/main/java/org/apache/drill/exec/ssl/SSLConfigBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,14,0,0,4.28
exec/java-exec/src/main/java/org/apache/drill/exec/resourcemgr/config/exception/RMConfigException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,1.24
exec/java-exec/src/main/java/org/apache/drill/exec/coord/local/package-info.java,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.92
exec/java-exec/src/main/java/org/apache/drill/exec/expr/stat/ParquetFilterPredicate.java,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,11,13,33,0,0,0,0,3.2
logical/src/main/java/org/apache/drill/common/logical/data/MetadataHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,1.52
metastore/rdbms-metastore/src/main/java/org/apache/drill/metastore/rdbms/transform/AbstractMetadataMapper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,2.56
exec/java-exec/src/main/java/org/apache/drill/exec/planner/sql/parser/SqlCreateView.java,136,30,0,20,0,17,0,0,0,0,0,0,0,0,0,0,37,0,2,6,16,0,8,0,0,10.88
exec/vector/src/main/java/org/apache/drill/exec/vector/accessor/convert/ConvertBooleanToString.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,41,0,0,3.28
exec/vector/src/main/java/org/apache/drill/exec/vector/complex/impl/AbstractBaseReader.java,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,12,0,0,2,11,0,5,16,0,0,5.76
exec/java-exec/src/test/java/org/apache/drill/exec/physical/impl/scan/TestColumnsArrayFramework.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,39,9,0,0,12.16
contrib/udfs/src/main/java/com/esri/core/geometry/VertexGeomAccessor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1
exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/Metadata.java,0,0,0,0,0,0,498,75,680,0,98,4,137,680,66,195,428,22,2007,0,0,0,0,0,0,195.6
common/src/main/java/org/apache/drill/common/config/DrillProperties.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,21,16,0,0,4,7,0,1,0,3,9.52
contrib/storage-hive/core/src/main/java/org/apache/drill/exec/store/hive/HiveDrillNativeScanBatchCreator.java,0,0,0,0,0,0,192,16,11,23,0,34,0,13,12,0,111,20,208,0,0,0,0,0,0,25.6
metastore/iceberg-metastore/src/main/java/org/apache/drill/metastore/iceberg/MetastoreContext.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,0,0,4.88
exec/ref/src/main/java/org/apache/drill/exec/ref/eval/fn/FunctionArguments.java,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48
exec/java-exec/src/main/java/org/apache/drill/exec/exception/FunctionNotFoundException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,2.16
