Class,Xerces-J_1_1_0,Xerces-J_1_2_0,Xerces-J_1_3_0,Xerces-J_1_4_0,Xerces-J_2_0_0,Xerces-J_2_1_0,Xerces-J_2_2_0,Xerces-J_2_3_0,Xerces-J_2_4_0,Xerces-J_2_5_0,Xerces-J_2_6_0,Xerces-J_2_7_0,Xerces-J_2_8_0,Xerces-J_2_9_0,Xerces-J_2_10_0,Xerces-J_2_11_0,Xerces-J_2_12_0,average
src/org/apache/xerces/dom3/as/ASAttributeDeclaration.java,0,0,0,0,83,0,0,0,1,0,0,0,0,0,0,0,0,4.941176471
src/org/apache/xerces/dom3/bootstrap/DOMImplementationListImpl.java,0,0,0,0,0,0,0,0,76,3,0,75,0,0,0,0,0,9.058823529
src/org/apache/html/dom/HTMLCollectionImpl.java,69,0,2,0,0,0,0,0,0,16,0,70,0,16,7,13,0,11.35294118
tests/dom/html/Test.java,0,0,163,0,163,0,0,0,0,0,0,0,0,0,0,0,0,19.17647059
src/org/apache/xerces/parsers/XML11DTDConfiguration.java,0,0,0,0,0,0,0,0,0,0,0,1337,17,11,0,0,0,80.29411765
tests/dom/serialize/TestNS.java,0,0,0,0,317,236,0,0,23,14,10,85,0,11,0,0,0,40.94117647
src/org/apache/xerces/validators/datatype/FloatDatatypeValidator.java,0,355,447,482,276,0,0,0,0,0,0,0,0,0,0,0,0,91.76470588
src/org/apache/xerces/validators/schema/SchemaSymbols.java,188,10,24,41,221,0,0,0,0,0,0,0,0,0,0,0,0,28.47058824
src/org/apache/xerces/impl/dv/xs/IntegerDV.java,0,0,0,0,0,0,0,80,0,0,0,69,0,11,0,0,0,9.411764706
src/org/apache/xerces/impl/xs/opti/AttrImpl.java,0,0,0,0,0,0,0,141,2,0,0,71,0,11,21,5,0,14.76470588
src/org/apache/xerces/jaxp/validation/SoftReferenceGrammarPool.java,0,0,0,0,0,0,0,0,0,0,0,432,0,11,2,0,0,26.17647059
src/org/apache/xerces/util/DOMErrorHandlerWrapper.java,0,0,0,0,259,375,0,9,8,0,4,242,0,11,17,0,0,54.41176471
src/org/apache/xerces/validators/datatype/MonthDatatypeValidator.java,0,0,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,21.17647059
src/org/apache/xerces/validators/common/Grammar.java,816,212,108,225,1135,0,0,0,0,0,0,0,0,0,0,0,0,146.8235294
src/org/w3c/dom/html/HTMLDirectoryElement.java,30,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,3.411764706
src/org/apache/xerces/xni/parser/XMLDTDScanner.java,0,0,0,0,136,2,0,4,0,0,0,75,0,11,1,0,0,13.47058824
src/org/xml/sax/SAXParseException.java,434,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,41.05882353
src/org/apache/xerces/impl/XMLEntityScanner.java,0,0,0,0,339,0,3,1309,315,101,125,232,0,45,21,0,32,148.3529412
src/org/apache/xerces/validators/dtd/DFAContentModel.java,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
src/org/apache/wml/WMLAElement.java,87,0,0,0,0,0,0,0,0,0,0,67,0,11,0,0,0,9.705882353
src/org/w3c/dom/Entity.java,89,0,48,0,0,2,0,0,68,0,0,0,0,0,0,0,0,12.17647059
src/org/apache/xerces/xni/parser/XMLComponent.java,0,0,0,0,142,0,22,0,0,0,0,67,0,11,2,0,0,14.35294118
tests/jaxp/PropertyTest.java,0,0,0,0,0,0,0,0,0,162,0,67,0,11,0,0,0,14.11764706
src/org/w3c/dom/html/HTMLFieldSetElement.java,26,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,3.117647059
src/whiteboard/org/apache/xerces/tree/TextNode.java,232,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,27.29411765
src/org/apache/xerces/dom3/as/ASModel.java,0,0,0,0,234,0,0,0,1,0,0,0,0,0,0,0,0,13.82352941
src/dom3/org/w3c/dom/CharacterData.java,0,0,0,0,0,175,0,0,46,24,2,153,0,0,0,0,0,23.52941176
tests/schema/config/IgnoreXSIType_C_AC_Test.java,0,0,0,0,0,0,0,0,0,0,0,0,180,11,0,0,0,11.23529412
src/org/xml/sax/misc/LexicalHandler.java,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.058823529
src/org/apache/xerces/parsers/XML11NonValidatingConfiguration.java,0,0,0,0,0,0,0,0,0,0,0,1232,17,11,0,0,2,74.23529412
src/org/apache/xerces/domx/traversal/NodeFilter.java,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.352941176
src/org/w3c/dom/html/HTMLSelectElement.java,213,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,20.35294118
src/org/apache/xerces/dom3/as/ASEntityDeclaration.java,0,0,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,4.647058824
src/org/w3c/dom/html/HTMLFrameSetElement.java,41,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,4.411764706
src/org/apache/xerces/validators/datatype/ENTITYValidator.java,143,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.82352941
src/org/apache/xerces/impl/XMLErrorReporter.java,0,0,0,0,496,47,46,0,0,1,0,106,0,11,62,0,0,45.23529412
src/org/apache/xerces/impl/dv/dtd/XML11NMTOKENDatatypeValidator.java,0,0,0,0,0,0,0,96,0,0,0,71,0,11,3,0,0,10.64705882
src/org/apache/xerces/validators/dtd/InsertableElementsInfo.java,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.176470588
src/org/apache/xerces/validators/datatype/QNameDatatypeValidator.java,0,406,243,280,129,0,0,0,0,0,0,0,0,0,0,0,0,62.23529412
tests/schema/Test.java,0,0,0,0,0,0,0,0,192,0,0,68,0,11,2,0,0,16.05882353
src/org/xml/sax/helpers/XMLFilterImpl.java,769,0,0,0,0,0,0,0,769,0,0,0,0,0,0,0,0,90.47058824
src/org/apache/xerces/dom/DeferredAttrImpl.java,60,8,4,0,18,4,0,4,0,0,0,68,0,11,0,0,0,10.41176471
src/org/apache/xerces/impl/xpath/regex/RegularExpression.java,0,0,0,0,3191,18,0,0,0,22,0,72,2,11,2344,65,0,336.7647059
src/whiteboard/org/apache/xerces/tree/XmlWritable.java,87,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,10.23529412
src/org/apache/xerces/impl/xs/ElementPSVImpl.java,0,0,0,0,322,174,8,4,0,10,51,77,0,11,42,43,56,46.94117647
src/org/apache/xerces/impl/dtd/XML11NSDTDValidator.java,0,0,0,0,0,0,0,0,0,0,260,69,0,11,2,0,0,20.11764706
src/org/apache/xerces/impl/xs/SubstitutionGroupHandler.java,0,0,0,0,253,19,0,9,228,0,4,76,0,11,77,16,0,40.76470588
src/org/apache/xerces/impl/XMLNSDocumentScannerImpl.java,0,0,0,0,0,0,636,130,2,22,74,369,0,20,5,0,0,74
src/org/apache/xerces/jaxp/validation/DOMResultAugmentor.java,0,0,0,0,0,0,0,0,0,0,0,255,4,13,2,0,0,16.11764706
src/org/apache/wml/WMLDOMImplementation.java,71,0,0,0,0,0,0,0,0,0,0,67,0,11,2,0,0,8.882352941
src/org/apache/xerces/framework/XMLParser.java,1844,116,83,135,1706,0,0,0,0,0,0,0,0,0,0,0,0,228.4705882
src/org/apache/xerces/validators/schema/identity/XPath.java,0,0,3607,605,3830,0,0,0,0,0,0,0,0,0,0,0,0,473.0588235
src/org/xml/sax/ContentHandler.java,374,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,44
src/org/apache/html/dom/HTMLBaseElementImpl.java,56,0,2,0,2,0,0,0,0,3,0,73,2,11,0,0,0,8.764705882
src/org/apache/xerces/util/NamespaceSupport.java,0,0,0,0,476,26,0,330,14,2,6,92,0,11,0,2,0,56.41176471
src/org/apache/wml/dom/WMLTemplateElementImpl.java,112,0,0,0,0,0,0,0,0,0,0,159,2,11,2,0,0,16.82352941
tests/dom/events/Test.java,0,207,2,49,30,0,0,0,2,0,0,70,0,11,0,0,0,21.82352941
src/org/apache/wml/WMLUElement.java,80,0,0,0,0,0,0,0,0,0,0,67,0,11,0,0,0,9.294117647
src/whiteboard/org/apache/xerces/tree/PINode.java,158,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,18.58823529
src/org/w3c/dom/html/HTMLAreaElement.java,121,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,11.70588235
src/org/apache/wml/WMLIElement.java,80,0,0,0,0,0,0,0,0,0,0,67,0,11,0,0,0,9.294117647
src/org/apache/xerces/impl/XML11EntityManager.java,0,0,0,0,0,810,200,824,0,0,0,0,0,0,0,0,0,107.8823529
src/org/apache/xerces/jaxp/validation/DOMValidatorHelper.java,0,0,0,0,0,0,0,0,0,0,0,592,0,11,40,0,0,37.82352941
src/org/apache/xerces/dom/DOMInputSourceImpl.java,0,0,0,0,406,3,0,0,0,407,0,0,0,0,0,0,0,48
src/org/apache/xerces/impl/dv/xs/BaseSchemaDVFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,19.11764706
src/org/apache/xerces/impl/dv/xs/ExtendedSchemaDVFactoryImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,4.823529412
src/org/apache/xerces/domx/traversal/DocumentTWIF.java,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.352941176
src/org/xml/sax/DocumentHandler.java,433,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,39
src/org/apache/xerces/jaxp/datatype/XMLGregorianCalendarImpl.java,0,0,0,0,0,0,0,0,0,0,0,3055,39,11,2410,0,0,324.4117647
src/org/apache/wml/dom/WMLOptionElementImpl.java,120,0,0,0,0,0,0,0,0,0,0,177,2,11,2,0,0,18.35294118
