Class,cassandra-0.4.0-final,cassandra-0.5.0,cassandra-0.6.0,cassandra-0.7.0,cassandra-0.8.0,cassandra-1.0.0,cassandra-1.1.0,cassandra-1.2.0,cassandra-2.0.0,cassandra-2.1.0,cassandra-2.2.0,cassandra-3.0.0,cassandra-3.1,cassandra-3.2,cassandra-3.3,cassandra-3.4,cassandra-3.5,cassandra-3.6,cassandra-3.7,cassandra-3.8,cassandra-4.0.0,cassandra-4.0.5,average
test/unit/org/apache/cassandra/cql3/CDCStatementTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6,0,3
test/unit/org/apache/cassandra/db/CompactionsPurgeTest.java,0,0,136,168,106,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.09090909
src/java/org/apache/cassandra/schema/SpeculativeRetryParam.java,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,160,0,14.54545455
test/long/org/apache/cassandra/dht/tokenallocator/Murmur3ReplicationAwareTokenAllocatorTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,2.181818182
test/unit/org/apache/cassandra/audit/InMemoryAuditLogger.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,2.363636364
test/unit/org/apache/cassandra/cql3/validation/miscellaneous/RoleSyntaxTest.java,0,0,0,0,0,0,0,0,0,0,53,110,0,0,0,0,0,0,0,0,23,0,8.454545455
src/java/org/apache/cassandra/db/rows/AbstractCell.java,0,0,0,0,0,0,0,0,0,0,0,126,5,0,0,79,2,15,5,0,108,7,15.77272727
test/unit/org/apache/cassandra/index/CustomIndexTest.java,0,0,0,0,0,0,0,0,0,0,0,642,33,6,57,82,34,27,11,58,451,0,63.68181818
src/java/org/apache/cassandra/cql3/statements/Selector.java,0,0,0,0,0,0,0,166,166,0,0,0,0,0,0,0,0,0,0,0,0,0,15.09090909
src/java/org/apache/cassandra/db/commitlog/CommitLogSegmentManagerStandard.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,27,0,5.272727273
src/java/org/apache/cassandra/cli/CliUserHelp.java,0,0,0,365,345,3,0,2,0,0,29,0,0,0,0,0,0,0,0,0,0,0,33.81818182
src/java/org/apache/cassandra/db/TreeMapBackedSortedColumns.java,0,0,0,0,0,175,73,78,118,176,0,0,0,0,0,0,0,0,0,0,0,0,28.18181818
test/unit/org/apache/cassandra/metrics/CassandraMetricsRegistryTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,20,70,0,5.636363636
test/unit/org/apache/cassandra/utils/SerializationsTest.java,0,0,0,0,117,0,39,35,52,5,52,165,0,0,0,0,0,0,0,0,107,0,26
test/unit/org/apache/cassandra/index/sasi/analyzer/NonTokenizingAnalyzerTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,3.545454545
tools/stress/src/org/apache/cassandra/stress/operations/userdefined/SchemaQuery.java,0,0,0,0,0,0,0,0,0,107,90,2,0,0,0,0,0,0,0,0,65,0,12
src/java/org/apache/cassandra/db/PartitionRangeReadQuery.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,4.318181818
