Class,v0.3.0,v0.4.0-incubating,v0.5.0-incubating,v0.6.0-incubating,v0.7.0-incubating,average
rsc/src/main/java/org/apache/livy/rsc/driver/MutableClassLoader.java,0,34,0,0,0,6.8
client-common/src/main/java/com/cloudera/livy/client/common/HttpMessages.java,10,143,0,0,0,30.6
api/src/main/java/org/apache/livy/LivyClient.java,0,109,9,0,0,23.6
rsc/src/main/java/org/apache/livy/rsc/RSCClientFactory.java,0,116,6,0,0,24.4
api/src/main/java/com/cloudera/livy/JobHandle.java,0,76,0,0,0,15.2
rsc/src/main/java/com/cloudera/livy/rsc/RSCClientFactory.java,0,113,0,0,0,22.6
api/src/main/java/org/apache/livy/annotations/Private.java,0,30,0,0,0,6
client-common/src/test/java/org/apache/livy/client/common/TestAbstractJobHandle.java,0,92,0,0,0,18.4
test-lib/src/main/java/com/cloudera/livy/test/apps/SimpleSparkApp.java,16,72,0,0,0,17.6
rsc/src/main/java/com/cloudera/livy/rsc/BypassJobStatus.java,0,40,0,0,0,8
rsc/src/main/java/org/apache/livy/rsc/rpc/SaslHandler.java,0,116,0,0,0,23.2
rsc/src/main/java/com/cloudera/livy/rsc/BaseProtocol.java,47,241,0,0,0,57.6
client-http/src/main/java/com/cloudera/livy/client/http/HttpClientFactory.java,0,41,0,0,0,8.2
client-http/src/main/java/com/cloudera/livy/client/http/HttpConf.java,33,83,0,0,0,23.2
rsc/src/main/java/org/apache/livy/rsc/driver/AddFileJob.java,0,40,0,0,0,8
rsc/src/main/java/org/apache/livy/rsc/driver/JobWrapper.java,0,99,0,40,0,27.8
client-common/src/main/java/com/cloudera/livy/client/common/AbstractJobHandle.java,0,106,0,0,0,21.2
rsc/src/main/java/com/cloudera/livy/rsc/driver/BypassJob.java,0,51,0,0,0,10.2
rsc/src/main/java/org/apache/livy/rsc/ReplJobResults.java,0,31,0,0,0,6.2
rsc/src/main/java/org/apache/livy/rsc/rpc/RpcDispatcher.java,0,219,11,0,0,46
rsc/src/test/java/org/apache/livy/rsc/TestJobHandle.java,0,98,0,0,0,19.6
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/GetSchemasJob.java,0,0,0,0,53,10.6
client-http/src/main/java/org/apache/livy/client/http/HttpClientFactory.java,0,40,0,0,0,8
rsc/src/test/java/com/cloudera/livy/rsc/TestSparkClient.java,76,533,0,0,0,121.8
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/ColumnBuffer.java,0,0,0,371,173,108.8
client-http/src/main/java/com/cloudera/livy/client/http/LivyConnection.java,81,236,0,0,0,63.4
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/SparkCatalogJob.java,0,0,0,0,106,21.2
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/ThriftSessionState.java,0,0,0,127,9,27.2
api/src/main/java/com/cloudera/livy/LivyClientBuilder.java,0,163,0,0,0,32.6
rsc/src/main/java/org/apache/livy/rsc/rpc/Rpc.java,0,460,3,0,0,92.6
rsc/src/main/java/com/cloudera/livy/rsc/driver/AddFileJob.java,40,40,0,0,0,16
client-common/src/test/java/org/apache/livy/client/common/TestBufferUtils.java,0,61,0,0,0,12.2
rsc/src/main/java/com/cloudera/livy/rsc/driver/JobWrapper.java,2,99,0,0,0,20.2
client-common/src/test/java/org/apache/livy/client/common/TestTestUtils.java,0,38,0,0,0,7.6
rsc/src/test/java/com/cloudera/livy/rsc/rpc/TestKryoMessageCodec.java,0,232,0,0,0,46.4
client-common/src/main/java/com/cloudera/livy/client/common/ClientConf.java,0,196,0,0,0,39.2
rsc/src/main/java/org/apache/livy/rsc/rpc/RpcException.java,0,26,0,0,0,5.2
test-lib/src/main/java/com/cloudera/livy/test/apps/FailingApp.java,0,40,0,0,0,8
api/src/main/java/com/cloudera/livy/JobContext.java,8,70,0,0,0,15.6
client-http/src/main/java/org/apache/livy/client/http/HttpConf.java,0,135,0,0,0,27
rsc/src/main/java/com/cloudera/livy/rsc/rpc/RpcDispatcher.java,0,219,0,0,0,43.8
rsc/src/main/java/com/cloudera/livy/rsc/driver/AddJarJob.java,35,42,0,0,0,15.4
rsc/src/main/java/com/cloudera/livy/rsc/RSCClient.java,91,403,0,0,0,98.8
