Class,release-0.3.0,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-0.15.0,release-0.16.0,release-0.17.0,average
src/org/apache/pig/experimental/logical/relational/LOForEach.java,0,0,0,0,88,88,0,0,0,0,0,0,0,0,0,11.73333333
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/util/ToBag.java,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,4.466666667
src/org/apache/pig/impl/eval/window/TupleWindowSpec.java,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.533333333
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestCheckin4.java,0,36,0,0,0,0,0,0,0,0,36,0,0,0,0,4.8
src/org/apache/pig/impl/logicalLayer/TopLevelProjectFinder.java,0,5,0,0,0,0,111,0,0,0,0,0,0,0,0,7.733333333
src/org/apache/pig/backend/hadoop/executionengine/tez/TezExecType.java,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,5.933333333
contrib/zebra/src/java/org/apache/hadoop/zebra/pig/package-info.java,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,2.933333333
test/org/apache/pig/test/utils/CloseAwareFSDataInputStream.java,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,2.866666667
test/org/apache/pig/test/TestStoreOld.java,116,0,0,0,0,23,0,0,0,49,0,5,0,0,0,12.86666667
src/org/apache/pig/data/NonSpillableDataBag.java,229,0,0,16,9,0,0,0,0,4,0,0,0,0,0,17.2
src/org/apache/pig/impl/io/ValidatingInputFileSpec.java,11,0,0,0,76,0,0,0,0,0,0,0,0,0,0,5.8
test/org/apache/pig/test/MiniGenericCluster.java,0,0,0,0,0,0,0,122,0,0,0,83,15,0,7,15.13333333
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestTableSortStorerDesc.java,0,0,0,200,31,6,0,0,0,0,187,0,0,0,0,28.26666667
src/org/apache/pig/backend/hadoop/executionengine/spark/KryoSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4.666666667
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/SIGNUM.java,62,0,0,0,3,0,0,0,0,0,0,2,0,0,0,4.466666667
src/org/apache/pig/data/utils/MethodHelper.java,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,6.466666667
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/HiveColumnarLoader.java,0,0,0,0,486,805,0,4,0,47,0,0,0,0,0,89.46666667
test/org/apache/pig/test/TestSplitCombine.java,0,0,0,0,0,478,0,0,0,0,0,122,0,0,2,40.13333333
test/org/apache/pig/test/TestLogicalPlanBuilder.java,1756,140,0,47,211,87,2284,20,335,94,4,2,0,4,629,374.2
src/org/apache/pig/IteratingAccumulatorEvalFunc.java,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,12.53333333
src/org/apache/pig/newplan/logical/expression/ExpToPhyTranslationVisitor.java,0,0,0,0,0,539,33,0,12,0,4,2,175,0,1,51.06666667
src/org/apache/pig/experimental/plan/Operator.java,0,0,0,0,93,93,0,0,0,0,0,0,0,0,0,12.4
src/org/apache/pig/builtin/InvokeForFloat.java,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,2.8
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestTableMergeJoinFloat.java,0,0,0,223,27,2,0,0,0,0,210,0,0,0,0,30.8
src/org/apache/pig/data/SchemaTupleFactory.java,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,8.6
test/org/apache/pig/test/TestOrderBy3.java,0,0,0,0,0,0,0,0,187,70,0,0,3,0,0,17.33333333
test/org/apache/pig/test/TestEmptyInputDir.java,0,0,0,0,0,229,0,15,6,0,7,0,0,185,63,33.66666667
src/org/apache/pig/SortInfoSetter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/util/PlanHelper.java,0,0,0,0,13,34,0,0,495,0,25,47,0,0,0,40.93333333
src/org/apache/pig/builtin/DoubleRound.java,0,0,0,0,0,55,0,0,0,0,0,7,0,0,0,4.133333333
src/org/apache/hadoop/hive/serde2/objectinspector/primitive/JavaConstantDoubleObjectInspector.java,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,5.733333333
src/org/apache/pig/backend/hadoop/executionengine/tez/util/MRToTezHelper.java,0,0,0,0,0,0,0,0,0,0,0,177,114,181,45,34.46666667
test/org/apache/pig/test/TestPigException.java,0,0,0,0,0,0,57,0,0,0,0,0,0,0,2,3.933333333
test/org/apache/pig/test/TestPlanGeneration.java,0,0,0,0,0,0,178,135,0,209,8,0,0,0,269,53.26666667
contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/evaluation/TestIsLong.java,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,3.933333333
src/org/apache/pig/backend/hadoop/executionengine/tez/runtime/TezInput.java,0,0,0,0,0,0,0,0,0,0,0,49,0,9,0,3.866666667
src/org/apache/pig/newplan/logical/expression/DivideExpression.java,0,0,0,0,0,84,2,0,0,0,0,0,0,0,0,5.733333333
contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/evaluation/xml/XPathAllTest.java,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,24.46666667
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigBigIntegerRawComparator.java,0,0,0,0,0,0,0,0,0,109,0,11,0,13,0,8.866666667
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/POStatus.java,34,0,0,4,0,0,2,0,7,0,48,0,0,0,0,6.333333333
src/org/apache/pig/parser/ParserValidationException.java,0,0,0,0,0,0,44,0,5,0,0,0,0,0,0,3.266666667
contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/evaluation/datetime/truncate/TestTruncateDateTime.java,0,0,0,0,114,0,246,0,0,0,0,52,0,0,0,27.46666667
src/org/apache/pig/data/SingleTupleBag.java,194,0,0,12,34,0,0,0,0,0,0,0,0,0,0,16
test/org/apache/pig/test/TestMultiQueryCompiler.java,0,0,0,0,0,1527,102,0,32,54,83,369,0,2,9,145.2
contrib/zebra/src/java/org/apache/hadoop/zebra/types/TableSchemaParser.java,0,965,0,965,0,0,0,0,0,0,0,0,0,0,0,128.6666667
src/org/apache/pig/parser/StreamingCommandUtils.java,0,0,0,0,0,0,182,0,6,72,0,0,0,0,0,17.33333333
src/org/apache/pig/pen/DerivedDataVisitor.java,482,0,0,11,1,0,478,0,0,0,0,0,0,0,0,64.8
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/POBinCond.java,170,0,0,171,0,0,231,0,7,72,0,0,0,0,0,43.4
src/org/apache/pig/data/WritableByteArray.java,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,4.8
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/XMLLoader.java,0,0,0,0,610,0,164,46,0,102,882,0,7,0,0,120.7333333
test/e2e/pig/udfs/java/org/apache/pig/test/udf/storefunc/DumpLoader.java,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,5.266666667
src/org/apache/pig/impl/builtin/ADD.java,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.933333333
src/org/apache/pig/impl/logicalLayer/LOBinCond.java,134,0,0,0,0,0,118,0,0,0,0,0,0,0,0,16.8
test/org/apache/pig/test/TestLocal.java,614,10,0,7,186,7,0,0,14,79,0,16,3,0,4,62.66666667
contrib/penny/java/src/main/java/org/apache/pig/penny/apps/tr/TRMonitorAgent.java,0,0,0,0,0,0,57,0,57,0,0,0,0,0,0,7.6
contrib/zebra/src/test/org/apache/hadoop/zebra/mapred/TestSmokeMR.java,0,0,0,0,285,0,0,0,0,0,285,0,0,0,0,38
test/org/apache/pig/test/TestInstantiateFunc.java,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.6
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/xml/XPath.java,0,0,0,0,0,0,0,0,0,0,147,3,184,0,68,26.8
