Class,releases/lucene/1.2,releases/lucene/1.3,releases/lucene/1.4,releases/lucene/1.9,releases/lucene/2.0.0,releases/lucene/2.1.0,releases/lucene/2.2.0,releases/lucene/2.3.0,releases/lucene/2.4.0,releases/lucene/2.9.0,releases/lucene/3.0.0,releases/lucene/9.0.0,releases/lucene/9.1.0,releases/lucene/9.2.0,releases/lucene/9.3.0,average
lucene/join/src/java/org/apache/lucene/search/join/ToParentDocValues.java,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,20.26666667
src/java/org/apache/lucene/index/IndexFileNameFilter.java,0,0,0,44,0,68,10,0,3,5,10,92,0,0,0,15.46666667
lucene/core/src/test/org/apache/lucene/search/TestNot.java,0,0,0,0,0,0,0,0,0,0,0,52,4,0,0,3.733333333
contrib/gdata-server/src/core/src/test/org/apache/lucene/gdata/storage/lucenestorage/TestStorageImplementation.java,0,0,0,0,0,458,0,458,0,0,0,0,0,0,0,61.06666667
contrib/xml-query-parser/src/java/org/apache/lucene/xmlparser/builders/BoostingQueryBuilder.java,0,0,0,58,40,17,0,0,0,117,0,60,0,0,0,19.46666667
lucene/core/src/test/org/apache/lucene/geo/TestPoint2D.java,0,0,0,0,0,0,0,0,0,0,0,134,3,0,0,9.133333333
lucene/spatial-extras/src/java/org/apache/lucene/spatial/prefix/tree/S2PrefixTreeCell.java,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,19.8
contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/config/DateResolutionAttribute.java,0,0,0,0,0,0,0,0,0,43,0,43,0,0,0,5.733333333
lucene/core/src/java/org/apache/lucene/index/FlushPolicy.java,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,7.333333333
lucene/core/src/test/org/apache/lucene/codecs/lucene90/TestLucene90PostingsFormat.java,0,0,0,0,0,0,0,0,0,0,0,145,6,0,0,10.06666667
lucene/queryparser/src/java/org/apache/lucene/queryparser/flexible/standard/builders/SlopQueryNodeBuilder.java,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,4.533333333
lucene/test-framework/src/test/org/apache/lucene/tests/util/TestRunWithRestrictedPermissions.java,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,3.933333333
contrib/gdata-server/src/core/src/java/org/apache/lucene/gdata/server/registry/ServerComponent.java,0,0,0,0,0,44,0,44,0,0,0,0,0,0,0,5.866666667
