Class,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-1.0.0,release-1.1.0,release-1.2.0,release-2.0.0,rel/release-2.1.0,rel/release-2.2.0,rel/release-2.3.0,rel/release-3.0.0,rel/release-3.1.0,rel/release-3.1.3,average
branch-0.4/ql/src/java/org/apache/hadoop/hive/ql/util/jdbm/recman/RecordCache.java,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.333333333
llap-client/src/test/org/apache/hadoop/hive/llap/tez/TestLlapDaemonProtocolClientProxy.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,144,0,0,13.71428571
ql/src/java/org/apache/hadoop/hive/ql/plan/RCFileMergeDesc.java,0,0,0,0,0,0,0,0,0,0,36,0,0,4,0,0,0,0,2,0,0,2
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/views/HiveNoAggregateIncrementalRewritingRule.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,2.523809524
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorUDFDayOfMonthString.java,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,6,0,0,2
ql/src/java/org/apache/hadoop/hive/ql/lockmgr/EmbeddedLockManager.java,0,0,0,0,0,0,0,467,0,18,18,0,0,0,19,0,0,3,24,0,0,26.14285714
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDFGreatest.java,0,0,0,0,0,0,0,0,0,0,0,0,200,0,153,0,0,0,2,11,0,17.42857143
hcatalog/src/test/e2e/hcatalog/udfs/java/org/apache/hcatalog/utils/DataReaderMaster.java,0,0,0,0,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,6.761904762
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastDecimalToVarChar.java,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,4,5,13,0,0,3.80952381
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/aggregates/VectorUDAFCountMerge.java,0,0,0,0,0,0,0,0,0,0,400,0,0,0,32,0,0,6,485,0,0,43.95238095
ql/src/test/org/apache/hadoop/hive/ql/parse/authorization/plugin/sqlstd/TestOperation2Privilege.java,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,2,0,0,2.523809524
hcatalog/core/src/main/java/org/apache/hive/hcatalog/data/transfer/DataTransferFactory.java,0,0,0,0,0,0,0,0,136,33,0,0,0,0,0,0,0,0,2,0,0,8.142857143
service/src/gen/thrift/gen-javabean/org/apache/hive/service/cli/thrift/TI32Column.java,0,0,0,0,0,0,0,0,0,548,0,0,0,4,62,548,0,0,0,0,0,55.33333333
service/src/gen-javabean/org/apache/hadoop/hive/service/Constants.java,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952380952
ql/src/test/org/apache/hadoop/hive/ql/io/orc/TestInStream.java,0,0,0,0,0,0,0,159,172,0,0,0,0,6,313,0,0,0,0,0,0,30.95238095
