Class,rel/1.2,rel/1.3,rel/1.4,rel/1.5,rel/1.6.0,rel/1.7.0,rel/1.8.0,rel/1.9.0,rel/1.10.0,rel/1.10.12,average
src/main/org/apache/tools/ant/types/selectors/AbstractSelectorContainer.java,0,0,0,0,0,288,69,24,21,92,49.4
src/tests/junit/org/apache/tools/ant/types/MapperTest.java,0,0,0,0,0,246,18,0,481,466,121.1
src/tests/junit/org/apache/tools/ant/taskdefs/compilers/JavacExternalTest.java,0,0,0,0,0,0,0,0,0,203,20.3
src/main/org/apache/tools/ant/taskdefs/compilers/Javac13.java,0,113,10,24,12,68,0,0,1,22,25
src/testcases/org/apache/tools/ant/types/PermissionsTest.java,0,0,0,0,193,193,0,0,0,0,38.6
src/main/org/apache/tools/ant/types/selectors/DependSelector.java,0,0,0,192,119,61,0,2,0,18,39.2
proposal/mutant/src/java/antcore/org/apache/ant/antcore/antlib/ComponentLibrary.java,0,0,0,106,106,0,0,0,0,0,21.2
src/main/org/apache/tools/ant/taskdefs/Sleep.java,0,0,216,91,24,62,2,0,13,26,43.4
src/main/org/apache/tools/ant/taskdefs/DefaultExcludes.java,0,0,0,0,149,70,0,0,4,33,25.6
src/main/org/apache/tools/ant/types/selectors/TypeSelector.java,0,0,0,0,172,67,0,2,0,32,27.3
src/tests/antunit/taskdefs/javac-dir/bad-src/Bad.java,0,0,0,0,0,0,22,0,0,2,2.4
src/main/org/apache/tools/ant/util/FileUtils.java,0,0,461,619,745,1452,716,108,79,434,461.4
proposal/mutant/src/java/common/org/apache/ant/common/model/BuildElement.java,0,0,0,170,170,0,0,0,0,0,34
src/testcases/org/apache/tools/ant/util/regexp/RegexpMatcherTest.java,0,126,0,147,16,243,0,0,0,0,53.2
src/tests/junit/org/apache/tools/ant/DummyTaskWithNonVoidExecute.java,0,0,0,0,0,30,0,0,0,2,3.2
src/main/org/apache/tools/ant/taskdefs/optional/j2ee/AbstractHotDeploymentTool.java,0,0,0,228,25,62,0,0,0,25,34
src/main/org/apache/tools/ant/taskdefs/Rename.java,12,2,8,12,31,66,0,0,1,7,13.9
proposal/embed/src/java/org/apache/tools/ant/helper/ProjectHelperImpl2.java,0,0,0,0,1194,4,1192,0,0,0,239
src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/JUnitReportTest.java,0,0,0,0,0,206,0,7,248,74,53.5
src/main/org/apache/tools/ant/taskdefs/optional/depend/DirectoryIterator.java,0,204,0,123,10,73,0,0,18,72,50
proposal/myrmidon/src/java/org/apache/ant/convert/Converter.java,0,32,32,0,0,0,0,0,0,0,6.4
src/main/org/apache/tools/ant/taskdefs/JDBCTask.java,0,0,0,487,81,96,67,24,16,50,82.1
src/main/org/apache/tools/zip/FallbackZipEncoding.java,0,0,0,0,0,0,94,8,16,15,13.3
src/antidote/org/apache/tools/ant/gui/command/CloseCmd.java,0,111,111,0,0,0,0,0,0,0,22.2
proposal/anteater/bootstrap/Bootstrap2.java,0,285,0,285,0,0,0,0,0,0,57
src/antidote/org/apache/tools/ant/gui/command/Command.java,0,72,72,0,0,0,0,0,0,0,14.4
src/tests/junit/org/apache/tools/ant/filters/ConcatFilterTest.java,0,0,0,0,0,154,0,0,85,69,30.8
src/etc/testcases/taskdefs/apt/AptExample.java,0,0,0,0,0,25,0,0,25,0,5
src/testcases/org/apache/tools/ant/PathTest.java,205,0,0,0,0,0,0,0,0,0,20.5
src/main/org/apache/tools/zip/GeneralPurposeBit.java,0,0,0,0,0,0,0,171,43,54,26.8
src/testcases/org/apache/tools/ant/taskdefs/PropertyTest.java,0,74,23,22,69,148,0,0,0,0,33.6
src/main/org/apache/tools/ant/taskdefs/optional/sitraka/bytecode/MethodInfoList.java,0,0,119,119,0,0,0,0,0,0,23.8
proposal/embed/src/java/org/apache/tools/ant/ProjectComponentHelper.java,0,0,0,0,139,3,138,0,0,0,28
proposal/myrmidon/src/java/org/apache/ant/project/DefaultTarget.java,0,93,93,0,0,0,0,0,0,0,18.6
proposal/mutant/src/main/org/apache/ant/core/model/TaskElement.java,0,0,169,169,0,0,0,0,0,0,33.8
src/main/org/apache/tools/ant/filters/util/JavaClassHelper.java,0,0,0,103,11,65,0,0,3,18,20
src/testcases/org/apache/tools/ant/types/ZipFileSetTest.java,0,0,0,0,156,156,0,0,0,0,31.2
proposal/mutant/src/java/common/org/apache/ant/common/service/FileService.java,0,0,0,77,77,0,0,0,0,0,15.4
proposal/mutant/src/java/antcore/org/apache/ant/antcore/execution/ImportInfo.java,0,0,0,120,120,0,0,0,0,0,24
src/main/org/apache/tools/ant/taskdefs/optional/sitraka/XMLReport.java,0,0,573,1008,53,580,0,0,0,0,221.4
src/main/org/apache/tools/ant/taskdefs/optional/depend/ClassFileIterator.java,0,60,0,24,6,61,0,0,0,37,18.8
proposal/xdocs/src/org/apache/ant/xdoclet/IndexGen.java,0,0,0,0,145,1,144,0,0,0,29
