Class,karaf-2.1.0,karaf-2.2.0,karaf-2.3.0,karaf-2.4.0,karaf-3.0.0,karaf-4.0.0,karaf-4.1.0,karaf-4.2.0,karaf-4.3.0,karaf-4.3.1,karaf-4.4.0,karaf-4.4.1,average
itests/test/src/test/java/org/apache/karaf/itests/ssh/BundleSshCommandSecurityTest.java,0,0,0,0,0,0,0,0,80,0,0,0,6.666666667
shell/core/src/main/java/org/apache/karaf/shell/impl/console/loader/JarInJarURLConnection.java,0,0,0,0,0,0,0,0,50,0,0,0,4.166666667
shell/wrapper/src/main/java/org/apache/karaf/shell/wrapper/InstallCommand.java,36,0,779,20,571,0,0,0,0,0,0,0,117.1666667
tooling/karaf-maven-plugin/src/test/java/org/apache/karaf/tooling/VerifyMojoTest.java,0,0,0,0,0,0,0,45,0,0,0,0,3.75
examples/karaf-config-example/karaf-config-example-listener/src/main/java/org/apache/karaf/example/config/listener/Activator.java,0,0,0,0,0,0,0,0,55,0,0,0,4.583333333
scr/management/src/main/java/org/apache/karaf/scr/management/codec/JmxReference.java,0,0,0,0,171,0,0,116,0,0,0,0,23.91666667
config/command/src/main/java/org/apache/karaf/config/command/completers/ConfigurationCompleter.java,0,0,0,0,81,81,0,0,0,0,0,0,13.5
jdbc/src/main/java/org/apache/karaf/jdbc/internal/JdbcServiceImpl.java,0,0,0,0,0,245,33,61,32,0,0,0,30.91666667
shell/console/src/main/java/org/apache/karaf/shell/util/ShellUtil.java,0,0,0,0,230,144,8,2,14,0,0,0,33.16666667
instance/core/src/main/java/org/apache/karaf/jpm/impl/ProcessBuilderImpl.java,0,0,0,0,48,48,0,0,0,0,0,0,8
features/core/src/main/java/org/apache/karaf/features/internal/resolver/BaseClause.java,0,0,0,0,0,114,0,2,114,0,0,0,19.16666667
shell/osgi/src/main/java/org/apache/karaf/shell/osgi/BundleSelector.java,0,0,178,32,198,0,0,0,0,0,0,0,34
package/src/main/java/org/apache/karaf/packages/core/internal/filter/ExprTokenizer.java,0,0,0,0,0,71,0,2,0,0,0,0,6.083333333
obr/command/src/main/java/org/apache/karaf/obr/command/ListUrlCommand.java,0,0,0,0,48,48,0,0,0,0,0,0,8
service/guard/src/test/java/org/apache/karaf/service/guard/impl/GuardingEventHookTest.java,0,0,0,253,0,0,0,92,2,0,0,0,28.91666667
