Class,release-1.1,release-1.2,release-1.3,release-1.4,release-1.5,release-1.6,release-1.7,release-1.8,release-1.9,release-1.10,release-1.12,release-1.13,release-1.14,release-1.15,release-1.16,release-1.17,release-1.18,release-2.0,release-2.1,release-2.2,release-2.3,release-2.4,average
nutchgora/src/plugin/parse-html/src/java/org/apache/nutch/parse/html/XMLCharacterRecognizer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,0,0,0,10.27272727
nutchgora/src/plugin/parse-tika/src/java/org/apache/nutch/parse/tika/XMLCharacterRecognizer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,0,0,0,10.27272727
src/plugin/language-identifier/src/java/org/apache/nutch/analysis/lang/HTMLLanguageParser.java,0,0,0,329,0,0,0,0,0,469,0,5,3,3,2,0,0,134,0,0,33,29,45.77272727
src/java/org/apache/nutch/scoring/package-info.java,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,22,0,0,22,0,3
src/plugin/parsefilter-naivebayes/src/java/org/apache/nutch/parsefilter/naivebayes/Train.java,0,0,0,0,0,0,0,0,0,0,148,0,0,0,3,0,0,147,0,0,0,0,13.54545455
src/java/org/apache/nutch/crawl/CrawlDbMerger.java,0,8,6,8,0,0,0,2,0,85,0,5,27,130,4,13,0,237,0,0,0,0,23.86363636
src/plugin/parsefilter-regex/src/java/org/apache/nutch/parsefilter/regex/package-info.java,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23,0,0,0,0,2.090909091
src/plugin/languageidentifier/src/java/org/apache/nutch/analysis/lang/LanguageIndexingFilter.java,0,0,8,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.181818182
src/java/org/apache/nutch/plugin/Extension.java,0,0,0,0,0,0,4,11,0,18,2,2,0,0,14,0,0,39,0,4,21,4,5.409090909
nutchgora/src/java/org/apache/nutch/net/URLFilterException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,3.545454545
src/plugin/parse-metatags/src/java/org/apache/nutch/parse/MetaTagsParser.java,0,0,0,0,107,0,17,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54545455
src/java/org/apache/nutch/webui/pages/components/ColorEnumLabel.java,0,0,0,0,0,0,0,0,0,0,71,2,0,0,2,0,0,71,0,0,71,0,9.863636364
nutchgora/src/java/org/apache/nutch/util/ObjectCache.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,5.272727273
src/test/org/apache/nutch/crawl/TestCrawlDbStates.java,0,0,0,0,0,0,0,0,565,124,7,18,10,98,3,0,0,601,0,0,0,0,64.81818182
src/java/org/apache/nutch/protocol/Content.java,15,0,0,0,11,0,0,0,0,30,0,5,0,26,3,18,0,85,0,17,29,3,11
src/java/org/apache/nutch/service/impl/SeedManagerImpl.java,0,0,0,0,0,0,0,0,0,0,0,58,0,0,3,0,0,57,0,0,0,0,5.363636364
nutchgora/src/plugin/language-identifier/src/java/org/apache/nutch/analysis/lang/LanguageIndexingFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,0,0,8.818181818
nutchgora/src/plugin/parse-tika/src/test/org/apache/nutch/parse/tika/TestRTFParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,0,0,0,10.72727273
src/java/org/apache/nutch/analysis/NutchAnalyzer.java,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.409090909
src/java/org/apache/nutch/util/EncodingDetector.java,0,0,0,19,4,0,0,0,0,154,0,15,5,0,9,0,0,245,0,0,259,22,33.27272727
src/java/org/apache/nutch/parse/package-info.java,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,22,0,0,22,0,3
nutchgora/src/plugin/subcollection/src/test/org/apache/nutch/collection/TestSubcollection.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,106,0,0,0,9.636363636
src/test/org/apache/nutch/crawl/CrawlDbUpdateUtil.java,0,0,0,0,0,0,0,0,162,26,0,3,0,284,4,0,0,387,0,0,0,0,39.36363636
src/java/org/apache/nutch/service/model/response/JobInfo.java,0,0,0,0,0,0,0,0,0,102,6,0,0,0,2,0,0,102,0,0,0,0,9.636363636
src/java/org/apache/nutch/indexer/DeleteDuplicates.java,2,8,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.40909091
nutchgora/src/java/org/apache/nutch/crawl/AbstractFetchSchedule.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,208,0,0,0,18.90909091
src/java/org/apache/nutch/tools/proxy/FakeHandler.java,0,0,99,0,0,0,0,0,99,0,0,0,0,0,0,0,0,169,0,0,61,12,20
src/plugin/scoring-similarity/src/java/org/apache/nutch/scoring/similarity/util/package-info.java,0,0,0,0,0,0,0,0,0,0,24,0,0,2,9,0,0,21,0,0,0,0,2.545454545
nutchgora/src/java/org/apache/nutch/parse/ParseCallable.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,3.454545455
nutchgora/src/test/org/apache/nutch/util/AbstractNutchTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,0,0,5.636363636
