Class,REL_1_5_1,REL_2_5_1,REL_3_0,REL_3_1_FINAL,REL_3_2_FINAL,REL_3_5-FINAL,REL_3_6,REL_3_7,REL_3_8_FINAL,REL_3_9,REL_3_10_FINAL,REL_3_11_FINAL,REL_3_12_FINAL,REL_3_13_FINAL,REL_3_14_FINAL,REL_3_15_FINAL,REL_3_16_FINAL,REL_3_17_FINAL,REL_4_0_0_FINAL,REL_4_1_0,REL_5_0_0,REL_5_1_0,REL_5_2_0,REL_5_2_2,average
poi/src/main/java/org/apache/poi/hssf/record/chart/TickRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,15.83333333
src/ooxml/java/org/apache/poi/xddf/usermodel/XDDFAdjustHandlePolar.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,0,0,3.25
poi-scratchpad/src/main/java/org/apache/poi/hwpf/usermodel/TableAutoformatLookSpecifier.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,2.833333333
poi/src/test/java/org/apache/poi/ddf/TestEscherClientAnchorRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,4.666666667
poi-ooxml/src/main/java/org/apache/poi/xddf/usermodel/text/StrikeType.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1.875
src/java/org/apache/poi/ss/usermodel/Date1904Support.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,2.916666667
poi/src/main/java/org/apache/poi/hssf/record/FeatHdrRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,5.625
poi/src/main/java/org/apache/poi/hssf/record/MulBlankRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,5.875
src/integrationtest/org/apache/poi/stress/HeapDump.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,0,8.083333333
src/java/org/apache/poi/hssf/record/SharedValueRecordBase.java,0,0,0,0,108,27,14,0,0,0,0,0,0,0,0,21,0,0,0,12,9,121,0,0,13
trunk/poi-ooxml/src/test/java/org/apache/poi/xssf/usermodel/TestXSSFPivotTableName.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,0,9.333333333
src/ooxml/testcases/org/apache/poi/xslf/XSLFTestDataSamples.java,0,0,0,0,0,0,0,0,51,0,0,0,0,0,27,0,144,0,0,0,0,72,0,0,12.25
src/testcases/org/apache/poi/hpsf/basic/TestWriteWellKnown.java,0,0,764,0,0,72,89,22,0,0,11,127,0,522,0,0,7,168,137,0,52,595,0,0,106.9166667
src/java/org/apache/poi/hssf/record/formula/functions/Fixed4ArgFunction.java,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.916666667
src/scratchpad/src/org/apache/poi/hssf/record/formula/functions/Large.java,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75
trunk/poi/src/test/java/org/apache/poi/ss/formula/functions/TestTrim.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,87,0,7.25
trunk/poi/src/main/java/org/apache/poi/hssf/record/chart/DatRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,176,0,14.66666667
poi-examples/src/main/java/org/apache/poi/examples/hslf/DataExtraction.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,6.166666667
trunk/poi-ooxml/src/main/java/org/apache/poi/poifs/crypt/temp/SXSSFWorkbookWithCustomZipEntrySource.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0,5.75
trunk/poi/src/main/java/org/apache/poi/ss/formula/FormulaType.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,0,7.166666667
poi/src/main/java/org/apache/poi/hssf/record/RowRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,18.08333333
trunk/poi/src/main/java/org/apache/poi/ss/formula/ptg/RefErrorPtg.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,0,7.083333333
src/testcases/org/apache/poi/hssf/record/formula/functions/TestIsBlank.java,0,0,0,62,8,2,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.416666667
poi-scratchpad/src/main/java/org/apache/poi/hdgf/HDGFLZW.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,3.958333333
trunk/poi/src/main/java/org/apache/poi/hssf/eventusermodel/FormatTrackingHSSFListener.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,201,0,16.75
trunk/poi-ooxml/src/test/java/org/apache/poi/ss/tests/formula/TestStructuredReferences.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,121,0,10.08333333
poi/src/test/java/org/apache/poi/hssf/record/chart/TestSeriesListRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,2.333333333
src/scratchpad/src/org/apache/poi/hslf/record/InteractiveInfoAtom.java,0,0,152,153,44,17,0,0,0,0,0,0,0,0,0,0,0,0,7,0,66,341,0,0,32.5
src/java/org/apache/poi/poifs/filesystem/FileMagic.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,27,35,114,229,0,0,23.33333333
trunk/poi/src/main/java/org/apache/poi/hssf/usermodel/EscherGraphics2d.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,665,0,55.41666667
trunk/poi-examples/src/main/java/org/apache/poi/examples/xslf/Tutorial4.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,0,8
src/ooxml/testcases/org/apache/poi/TestPOIXMLDocument.java,0,0,0,0,0,144,0,0,13,0,24,2,48,49,90,38,109,79,384,0,0,0,0,0,40.83333333
trunk/poi/src/main/java/org/apache/poi/hpsf/Date.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,2.583333333
trunk/poi/src/main/java/org/apache/poi/util/ReplacingInputStream.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,203,0,16.91666667
poi-scratchpad/src/main/java/org/apache/poi/hwpf/model/Stshif.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,3.458333333
src/ooxml/java/org/apache/poi/xddf/usermodel/chart/ErrorDirection.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,3.666666667
