Class,3.0.1,3.0.2,3.1.2,3.1.3,4,4.0.1,4.0.2,4.1,4.1.1,average
cayenne-cache-invalidation/src/main/java/org/apache/cayenne/cache/invalidation/CacheInvalidationFilter.java,0,0,0,0,153,0,0,56,2,23.44444444
cayenne-server/src/main/java/org/apache/cayenne/configuration/web/RequestHandler.java,0,0,0,0,35,0,0,35,0,7.777777778
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/access/DataContextCrossDBTest.java,0,0,16,0,65,0,0,0,0,9
cayenne-server/src/test/java/org/apache/cayenne/testdo/map_to_many/auto/_IdMapToMany.java,0,0,0,0,35,0,0,60,0,10.55555556
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/testdo/relationship/ToManyRoot2.java,0,0,0,0,28,0,0,0,0,3.111111111
cayenne-dbsync/src/main/java/org/apache/cayenne/dbsync/merge/token/model/SetNotNullToModel.java,0,0,0,0,48,0,0,0,2,5.555555556
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/access/dbsync/ThrowOnPartialOrCreateSchemaStrategy.java,0,0,6,0,96,0,0,0,0,11.33333333
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/remote/hessian/HessianConfig.java,0,0,2,0,114,0,0,0,0,12.88888889
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/enhancer/DoubleEnhanceException.java,0,0,46,0,0,0,0,0,0,5.111111111
cayenne-server/src/main/java/org/apache/cayenne/util/concurrentlinkedhashmap/EvictionListener.java,0,0,0,0,57,0,0,0,4,6.777777778
cayenne-server/src/test/java/org/apache/cayenne/testdo/qualified/Qualified1.java,0,0,0,0,25,0,0,0,2,3
cayenne-server/src/main/java/org/apache/cayenne/query/QueryRouter.java,0,0,0,0,61,0,0,0,2,7
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/access/jdbc/MockupRuntimeServices.java,0,0,0,0,42,0,0,0,0,4.666666667
cayenne-server/src/main/java/org/apache/cayenne/dba/oracle/OracleAdapter.java,0,0,0,0,357,0,0,34,2,43.66666667
cayenne-velocity/src/test/java/org/apache/cayenne/velocity/VelocitySQLTemplateProcessor_SelectTest.java,0,0,0,0,0,0,0,109,2,12.33333333
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/query/AbstractQuery.java,0,0,24,0,162,0,0,0,0,20.66666667
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/CreateAttributeAction.java,0,0,241,0,0,0,0,0,0,26.77777778
cayenne-server/src/test/java/org/apache/cayenne/access/DataContextBinaryPKIT.java,0,0,0,0,88,0,0,0,2,10
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/testdo/mt/auto/_ClientMtReflexive.java,0,0,0,0,82,0,0,0,0,9.111111111
cayenne-server/src/test/java/org/apache/cayenne/testdo/cay_2521/auto/_Issue.java,0,0,0,0,0,0,0,103,0,11.44444444
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/query/PrefetchSelectQuery.java,0,0,25,0,197,0,0,0,0,24.66666667
framework/cayenne-jpa-unpublished/src/test/java/org/apache/cayenne/jpa/JpaNativeQueryTest.java,0,0,67,0,0,0,0,0,0,7.444444444
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/testdo/relationship/ReflexiveAndToOne.java,0,0,0,0,26,0,0,0,0,2.888888889
cayenne-server/src/test/java/org/apache/cayenne/testdo/locking/RelLockingTestEntity.java,0,0,0,0,28,0,0,0,2,3.333333333
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/configuration/BaseConfigurationNodeVisitor.java,0,0,101,0,101,0,0,0,0,22.44444444
cayenne-server/src/test/java/org/apache/cayenne/testdo/testmap/annotations/Tag2.java,0,0,0,0,32,0,0,0,2,3.777777778
cayenne-server/src/test/java/org/apache/cayenne/query/SelectQueryMetadataCacheKeyTest.java,0,0,0,0,385,0,0,4,2,43.44444444
framework/cayenne-tools/src/main/java/org/apache/cayenne/gen/DefaultClassGenerator.java,0,0,350,0,0,0,0,0,0,38.88888889
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/dialog/datamap/SuperclassUpdateController.java,0,0,121,0,0,0,0,42,2,18.33333333
cayenne-project/src/test/java/org/apache/cayenne/project/ProjectModuleProviderTest.java,0,0,0,0,31,0,0,0,2,3.666666667
framework/cayenne-modeler/src/main/java/org/apache/cayenne/pref/PreferenceService.java,0,0,47,0,0,0,0,0,0,5.222222222
framework/cayenne-project/src/main/java/org/apache/cayenne/project/validation/DataMapValidator.java,0,0,80,0,80,0,0,0,0,17.77777778
cayenne-server/src/test/java/org/apache/cayenne/ashwood/WeightedAshwoodEntitySorterIT.java,0,0,0,0,70,0,0,0,2,8
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/access/types/BooleanTypeTest.java,0,0,0,0,53,0,0,0,0,5.888888889
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/access/jdbc/DataRowPostProcessor.java,0,0,25,0,175,0,0,0,0,22.22222222
