Class,drill-0.4.0,drill-0.7.0,drill-0.8.0,drill-0.9.0,drill-1.0.0,drill-1.1.0,drill-1.2.0,drill-1.3.0,drill-1.4.0,drill-1.5.0,drill-1.6.0,drill-1.7.0,drill-1.8.0,drill-1.9.0,drill1.10.0,drill-1.11.0,drill-1.12.0,drill-1.13.0,drill-1.14.0,drill-1.15.0,drill-1.16.0,drill-1.17.0,drill-1.18.0,drill-1.19.0,drill-1.20.0,,average
exec/java-exec/src/test/resources/store/json/record_with_empty_list.json,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.08
exec/java-exec/src/main/java/org/apache/drill/exec/rpc/security/AuthenticatorProviderImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,0.2
exec/java-exec/src/test/resources/parquet/parquet_selective_column_read.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,,1.6
exec/java-exec/src/main/java/org/apache/drill/exec/compile/bytecode/MethodAnalyzer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,35,0,0,0,,6.92
exec/java-exec/src/test/resources/vector/complex/multi-repeated-list-multi-empty.json,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.12
exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/MetadataHashAggPrel.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,,3.52
exec/java-exec/src/test/resources/functions/string/testTrim.json,39,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.88
exec/java-exec/src/main/codegen/templates/DateIntervalFunctionTemplates/TimestampDiff.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,110,,4.52
contrib/udfs/README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,,1.48
contrib/storage-kudu/src/main/java/org/apache/drill/exec/store/kudu/KuduSchemaFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,,0.6
exec/java-exec/src/main/codegen/templates/CastVarCharToNullableNumeric.java,0,0,2,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.48
exec/java-exec/src/test/java/org/apache/drill/exec/fn/impl/TestParseFunctions.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,,3.44
contrib/format-syslog/src/test/java/org/apache/drill/exec/store/syslog/TestSyslogFormat.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,,1.32
exec/java-exec/src/main/java/org/apache/drill/exec/store/sys/ExtendedOptionIterator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,9,0,0,0,0,0,0,,6.56
exec/java-exec/src/main/java/org/apache/drill/exec/store/dfs/OpenFileTracker.java,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.44
exec/java-exec/src/test/java/org/apache/drill/exec/compile/TestEvaluationVisitor.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0.08
exec/java-exec/src/test/resources/functions/string/testRpad.json,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.16
exec/java-exec/src/test/java/org/apache/drill/TestFrameworkTest.java,0,0,0,0,56,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,3.28
exec/java-exec/src/main/java/org/apache/drill/exec/physical/base/DbGroupScan.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,0.16
