Class,cassandra-0.4.0-final,cassandra-0.5.0,cassandra-0.6.0,cassandra-0.7.0,cassandra-0.8.0,cassandra-1.0.0,cassandra-1.1.0,cassandra-1.2.0,cassandra-2.0.0,cassandra-2.1.0,cassandra-2.2.0,cassandra-3.0.0,cassandra-3.1,cassandra-3.2,cassandra-3.3,cassandra-3.4,cassandra-3.5,cassandra-3.6,cassandra-3.7,cassandra-3.8,cassandra-4.0.0,cassandra-4.0.5,,average
src/java/org/apache/cassandra/gms/GossipDigestSynVerbHandler.java,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.045454545
src/java/org/apache/cassandra/utils/FastLinkedHashMap.java,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.181818182
src/java/org/apache/cassandra/cli/CliOptions.java,0,0,0,20,25,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.409090909
test/unit/org/apache/cassandra/locator/DatacenterStrategyTest.java,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.136363636
src/java/org/apache/cassandra/streaming/ReplicationFinishedVerbHandler.java,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
src/java/org/apache/cassandra/dht/LeaveJoinProtocolImpl.java,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26.54545455
src/java/org/apache/cassandra/dht/LocalToken.java,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.090909091
bin/stop-server.ps1,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,,16.18181818
test/unit/org/apache/cassandra/service/AntiEntropyServiceTest.java,0,0,0,126,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17.68181818
bin/cassandra.bat,0,0,20,3,2,20,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,2.5
src/java/org/apache/cassandra/db/Truncation.java,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5
src/java/org/apache/cassandra/db/index/SecondaryIndexSearcher.java,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.136363636
src/java/org/apache/cassandra/db/streaming/CassandraStreamWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,0.272727273
src/java/org/apache/cassandra/net/FrameEncoderLegacyLZ4.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,,0.363636364
conf/cassandra-env.ps1,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,,30.45454545
test/unit/org/apache/cassandra/io/sstable/SSTableSimpleWriterTest.java,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0.318181818
conf/cassandra-rack.properties,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.636363636
src/java/org/apache/cassandra/db/CollationController.java,0,0,0,0,0,201,35,50,50,32,0,0,0,0,0,0,0,0,0,0,0,0,,16.72727273
src/java/org/apache/cassandra/utils/ObjectSizes.java,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,,11
src/java/org/apache/cassandra/net/ConnectionStatistics.java,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7
src/java/org/apache/cassandra/service/LoadBroadcaster.java,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.227272727
src/java/org/apache/cassandra/io/sstable/IndexSummaryManagerMBean.java,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,,2.181818182
conf/datacenters.properties,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.818181818
src/java/org/apache/cassandra/gms/IEndPointStateChangeSubscriber.java,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
src/java/org/apache/cassandra/net/CompactEndPointSerializationHelper.java,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.454545455
test/unit/org/apache/cassandra/db/SinglePartitionSliceCommandTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,,1.045454545
src/java/org/apache/cassandra/db/RangeSliceReply.java,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.409090909
src/java/org/apache/cassandra/io/compress/CompressedSequentialWriter.java,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.136363636
src/java/org/apache/cassandra/streaming/StreamIn.java,0,0,0,0,7,0,9,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,1.090909091
src/java/org/apache/cassandra/streaming/compress/CompressedStreamWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,,0.545454545
contrib/pig/cassandra.yaml,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15
src/java/org/apache/cassandra/thrift/TBinaryProtocol.java,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.090909091
src/java/org/apache/cassandra/streaming/StreamWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,,0.409090909
bin/sstable2json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.045454545
contrib/word_count/build.xml,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.363636364
