Class,3.0.1,3.0.2,3.1.2,3.1.3,4,4.0.1,4.0.2,4.1,4.1.1,,average
maven-plugins/cayenne-maven-plugin/src/test/resources/org/apache/cayenne/tools/dbimport/testAddedFlattenedRelationship-pom.xml,0,0,0,0,49,0,0,49,0,,10.88888889
cayenne-server/src/test/resources/cayenne-qualified.xml,0,0,0,0,0,0,0,2,0,,0.222222222
cayenne-tools/src/main/java/org/apache/cayenne/tools/dbimport/DbImportConfiguration.java,0,0,0,0,61,0,0,0,0,,6.777777778
docs/docbook/getting-started/pom.xml,0,0,0,0,2,0,0,0,0,,0.222222222
framework/cayenne-wocompat-unpublished/src/test/resources/wotests/flattened.eomodeld/Artist.plist,0,0,55,0,55,0,0,0,0,,12.22222222
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/ejbql/parser/EJBQLOr.java,0,0,7,0,0,0,0,0,0,,0.777777778
cayenne-tools/src/test/resources/org/apache/cayenne/tools/dbimport/build-include-table.map.xml-result,0,0,0,0,37,0,0,0,0,,4.111111111
cayenne-server/src/main/java/org/apache/cayenne/velocity/BindObjectEqualDirective.java,0,0,0,0,164,0,0,0,0,,18.22222222
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/unit/SybaseUnitDbAdapter.java,0,0,0,0,13,0,0,0,0,,1.444444444
cayenne-server/src/main/java/org/apache/cayenne/access/DataContextMergeHandler.java,0,0,0,0,8,0,0,0,0,,0.888888889
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/undo/ChangePKGeneratorUndoableEdit.java,0,0,0,0,132,0,0,0,0,,14.66666667
framework/cayenne-project-unpublished/src/main/java/org/apache/cayenne/project/validation/ProcedureValidator.java,0,0,78,0,0,0,0,0,0,,8.666666667
docs/docbook/docbook-stylesheets/src/main/resources/stylesheets/pdf.xsl,0,0,529,0,529,0,0,0,0,,117.5555556
cayenne-dbsync/src/main/java/org/apache/cayenne/dbsync/reverse/db/DbLoader.java,0,0,0,0,12,0,0,0,0,,1.333333333
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/reflect/PersistentDescriptorFactory.java,0,0,20,0,20,0,0,0,0,,4.444444444
framework/cayenne-project/src/main/java/org/apache/cayenne/project/validation/DataNodeValidator.java,0,0,75,0,0,0,0,0,0,,8.333333333
framework/cayenne-wocompat-unpublished/src/test/resources/wotests/flattened.eomodeld/ArtistExhibit.plist,0,0,42,0,42,0,0,0,0,,9.333333333
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/undo/CreateDataMapEntityListenerUndoableEdit.java,0,0,59,0,0,0,0,0,0,,6.555555556
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/reflect/PersistentDescriptor.java,0,0,68,0,67,0,0,0,0,,15
cayenne-server/src/test/java/org/apache/cayenne/testdo/enum_test/EnumEntity3.java,0,0,0,0,0,0,0,28,0,,3.111111111
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/undo/TextCompoundEdit.java,0,0,14,0,7,0,0,0,0,,2.333333333
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/access/jdbc/SoftDeleteBatchQueryBuilderTest.java,0,0,0,0,8,0,0,0,0,,0.888888889
