Class,release-0.2.0,release-0.3.0,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-0.15.0,release-0.16.0,release-0.17.0,release-0.18.0,release-0.19.0,release-0.20.0,release-0.21.0,release-0.22.0,release-0.23.0,release-1.0.0,release-1.1.0,release-1.2.0,release-2.2.0,release-2.3.0,release-2.4.0,release-2.5.0,release-2.6.0,release-2.7.0,rel/release-2.8.0,rel/release-2.9.0,rel/release-2.10.0,rel/release-3.0.0,rel/release-3.1.0,rel/release-3.2.0,rel/release-3.3.0,rel/release-3.3.4,average
src/java/org/apache/hadoop/ipc/AvroSpecificRpcEngine.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2.307692308
hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/webapp/util/WebAppUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,9,0,0,0,0,0.692307692
src/java/org/apache/hadoop/ipc/Server.java,17,0,1234,0,0,47,47,28,18,0,0,46,16,40,9,46,0,0,0,51,0,327,1548,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,97.46153846
hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/Shell.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,46,0,56,0,4,244,155,2,489,0,2,0,1,27.82051282
src/hdfs/org/apache/hadoop/hdfs/server/namenode/GenerationStampUpgradeNamenode.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64102564
hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/FileSystemContractBaseTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,209,0,892,0,0,0,0,28.33333333
hadoop-tools/hadoop-azure/src/test/java/org/apache/hadoop/fs/azurebfs/ITestFileSystemRegistration.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,78,0,0,4
src/test/org/apache/hadoop/mapred/NotificationTestCase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,35,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.256410256
hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/web/ozShell/volume/CreateVolumeHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,2.846153846
src/test/core/org/apache/hadoop/fs/FileContextMainOperationsBaseTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,785,0,0,0,785,0,0,0,0,0,0,0,0,0,0,0,0,0,51.33333333
src/mapred/org/apache/hadoop/mapred/jobcontrol/Job.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205128205
hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/IOUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,14,0,32,56,0,0,0,3.205128205
src/java/org/apache/hadoop/filecache/DistributedCache.java,0,0,0,0,0,466,56,0,31,0,8,0,276,240,61,20,3,0,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.38461538
hadoop-common-project/hadoop-nfs/src/main/java/org/apache/hadoop/oncrpc/security/SysSecurityHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0.256410256
hadoop-ozone/common/src/main/java/org/apache/hadoop/ozone/om/protocolPB/OzoneManagerProtocolPB.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0.871794872
src/java/org/apache/hadoop/util/ServletUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769
hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/blockmanagement/TestSortLocatedStripedBlock.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.153846154
src/java/org/apache/hadoop/io/WritableFactories.java,0,0,0,0,23,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.794871795
hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/datanode/TestDataNodeVolumeFailureToleration.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.256410256
common/src/test/core/org/apache/hadoop/io/file/tfile/TestTFileByteArrays.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43589744
hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/alias/TestCredShell.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,15,66,88,0,150,0,0,0,0,9.948717949
