Class,karaf-2.1.0,karaf-2.2.0,karaf-2.3.0,karaf-2.4.0,karaf-3.0.0,karaf-4.0.0,karaf-4.1.0,karaf-4.2.0,karaf-4.3.0,karaf-4.3.1,karaf-4.4.0,karaf-4.4.1,average
shell/osgi/src/main/java/org/apache/karaf/shell/osgi/BundleSelector.java,0,0,0,4,0,0,0,0,0,0,0,0,0.333333333
jaas/command/src/main/java/org/apache/karaf/jaas/command/completers/RealmCompleter.java,0,0,0,0,16,0,0,0,0,0,0,0,1.333333333
profile/src/main/java/org/apache/karaf/profile/assembly/Builder.java,0,0,0,0,0,90,416,197,136,3,17,0,71.58333333
jdbc/command/src/main/java/org/apache/karaf/jdbc/command/completers/DataSourcesNameCompleter.java,0,0,0,0,0,53,0,0,0,0,0,0,4.416666667
service/guard/src/test/java/org/apache/karaf/service/guard/impl/GuardingEventHookTest.java,0,0,0,0,0,0,0,14,0,0,0,0,1.166666667
tooling/exam/options/src/main/java/org/apache/karaf/tooling/exam/options/ExamBundlesStartLevel.java,0,0,1,0,0,0,0,0,0,0,0,0,0.083333333
webconsole/admin/src/main/java/org/apache/karaf/webconsole/admin/AdminPlugin.java,0,4,0,32,0,0,0,0,0,0,0,0,3
features/core/src/main/java/org/apache/karaf/features/internal/download/simple/SimpleDownloader.java,0,0,0,0,0,2,0,0,0,0,0,0,0.166666667
itests/src/test/java/org/apache/karaf/itests/MavenResolverRegisteredBeforeConfigAdminTest.java,0,0,0,0,0,0,73,0,0,0,0,0,6.083333333
obr/command/src/main/java/org/apache/karaf/obr/command/StartCommand.java,0,0,0,0,14,0,0,0,0,0,0,0,1.166666667
itests/test/src/test/java/org/apache/karaf/itests/SystemShutdownTest.java,0,0,0,0,0,0,0,0,2,0,10,0,1
features/core/src/main/java/org/apache/karaf/features/internal/service/FeaturesServiceImpl.java,0,0,0,0,0,81,135,607,38,0,0,0,71.75
system/src/main/java/org/apache/karaf/system/internal/SystemServiceImpl.java,0,0,0,0,0,31,0,0,0,0,0,0,2.583333333
jms/src/main/java/org/apache/karaf/jms/JmsService.java,0,0,0,0,0,12,0,0,0,0,0,0,1
tooling/exam/regression/src/test/java/org/apache/karaf/tooling/exam/regression/supports/EchoServlet.java,0,0,0,0,61,0,0,0,0,0,0,0,5.083333333
management/server/src/main/java/org/apache/karaf/management/MBeanRegistrer.java,0,0,16,0,0,0,0,0,0,0,0,0,1.333333333
kar/src/main/java/org/apache/karaf/kar/internal/FeatureDetector.java,0,0,0,0,0,0,0,2,0,0,0,0,0.166666667
bundle/blueprintstate/src/main/java/org/apache/karaf/bundle/state/blueprint/internal/BlueprintStateService.java,0,0,0,0,0,0,0,0,0,0,7,0,0.583333333
shell/commands/src/main/java/org/apache/karaf/shell/commands/PrintfAction.java,0,1,0,0,0,0,0,0,0,0,0,0,0.083333333
features/core/src/main/java/org/apache/karaf/features/internal/service/FeatureReq.java,0,0,0,0,0,0,0,127,4,0,0,0,10.91666667
jaas/modules/src/main/java/org/apache/karaf/jaas/modules/impl/Activator.java,0,0,0,0,0,109,16,0,3,0,0,0,10.66666667
main/src/main/java/org/apache/karaf/main/util/ArtifactResolver.java,0,0,0,0,20,0,0,0,0,0,0,0,1.666666667
shell/commands/src/main/java/org/apache/karaf/shell/commands/WatchAction.java,0,0,29,0,0,0,0,0,0,0,0,0,2.416666667
deployer/spring/src/main/java/org/apache/karaf/deployer/spring/SpringDeploymentListener.java,0,0,0,14,0,0,0,0,0,4,0,0,1.5
shell/core/src/main/java/org/apache/karaf/shell/impl/console/osgi/DelayedStarted.java,0,0,0,0,0,0,0,24,0,0,0,0,2
jaas/modules/src/main/java/org/apache/karaf/jaas/modules/AbstractKarafLoginModule.java,0,0,4,0,4,0,0,8,17,0,0,0,2.75
main/src/main/java/org/osgi/service/packageadmin/ExportedPackage.java,0,0,0,0,113,0,0,0,0,0,0,0,9.416666667
bundle/core/src/main/java/org/apache/karaf/bundle/core/internal/BundlesMBeanImpl.java,0,0,0,0,264,6,26,0,0,0,0,0,24.66666667
main/src/main/java/org/osgi/framework/Filter.java,0,0,0,0,136,0,0,0,0,0,0,0,11.33333333
tooling/features-maven-plugin/src/main/java/org/apache/karaf/tooling/features/CustomBundleURLStreamHandlerFactory.java,0,0,7,0,7,0,0,0,0,0,0,0,1.166666667
