Class,release-0.3.0,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-0.15.0,release-0.16.0,release-0.17.0,,average
src/org/apache/pig/pen/DerivedDataVisitor.java,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,,32.13333333
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/expressionOperators/POBinCond.java,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,,3.2
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/XMLLoader.java,0,0,0,0,0,0,42,46,0,102,0,0,7,0,0,,13.13333333
test/org/apache/pig/test/TestLocal.java,0,0,0,0,0,7,7,0,0,0,0,16,16,0,4,,3.333333333
contrib/zebra/src/test/org/apache/hadoop/zebra/mapred/TestSmokeMR.java,0,0,0,0,0,0,0,0,0,0,285,285,0,0,0,,38
contrib/zebra/src/test/stress/stress_load_store_05.pig,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,,6
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/xml/XPath.java,0,0,0,0,0,0,0,0,0,0,36,3,187,0,68,,19.6
src/org/apache/pig/backend/hadoop/executionengine/tez/runtime/WeightedRangePartitionerTez.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,0.4
src/org/apache/pig/newplan/logical/relational/LogicalSchema.java,0,0,0,0,0,28,71,18,0,0,0,0,0,45,72,,15.6
test/org/apache/pig/test/TestCommit.java,0,0,0,0,0,11,11,0,0,7,0,0,0,0,0,,1.933333333
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/IntMin.java,0,0,0,0,0,0,0,0,0,0,40,2,2,0,0,,2.933333333
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/xml/XPathAll.java,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,,21.26666667
contrib/zebra/src/test/org/apache/hadoop/zebra/io/TestDuplicateMapKeyInDifferentCGs.java,0,0,0,0,0,0,0,0,0,0,85,85,0,0,0,,11.33333333
