Class,rel/0.18.0,rel/0.19.0,rel/0.20.0,rel/0.90.0,rel/0.92.0,rel/0.94.0,rel/0.96.0,rel/0.98.0,rel/0.99.0,rel/1.0.0,rel/1.1.0,rel/1.2.0,rel/1.3.0,rel/1.4.0,rel/1.5.0,rel/1.6.0,rel/1.7.0,rel/2.0.0,rel/2.1.0,rel/2.2.0,rel/2.3.0,rel/2.4.0,rel/3.0.0-alpha-1,rel/3.0.0-alpha-3,average
hbase-client/src/test/java/org/apache/hadoop/hbase/client/TestProcedureFuture.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,4,0,0,0,0,0,0,1.166666667
hbase-server/src/main/java/org/apache/hadoop/hbase/mapreduce/hadoopbackport/JarFinder.java,0,0,0,0,0,0,170,170,31,175,0,0,0,0,0,0,0,175,0,0,0,0,0,0,30.04166667
hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,43,0,0,0,0,0,0,3.583333333
hbase-balancer/src/main/java/org/apache/hadoop/hbase/master/balancer/RegionCountSkewCostFunction.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.625
src/java/org/apache/hadoop/hbase/thrift/generated/ScanEntry.java,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.375
hbase-server/src/main/java/org/apache/hadoop/hbase/thrift/generated/Mutation.java,0,0,0,0,0,0,730,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79166667
hbase-annotations/src/test/java/org/apache/hadoop/hbase/LargeTests.java,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.583333333
hbase-server/src/test/java/org/apache/hadoop/hbase/snapshot/TestExportSnapshot.java,0,0,0,0,0,0,91,91,251,0,0,5,5,2,2,0,0,492,0,0,0,0,381,0,55
hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/VisibilityLabelService.java,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333
hbase-common/src/test/java/org/apache/hadoop/hbase/TestIndividualBytesFieldCell.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,40,0,3.333333333
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestRegionServerMetrics.java,0,0,0,0,0,0,83,71,50,107,91,0,4,0,1,0,0,153,0,1,0,0,5,0,23.58333333
hbase-server/src/test/java/org/apache/hadoop/hbase/TestTagRewriteCell.java,0,0,0,0,0,0,0,0,0,0,48,48,0,0,0,0,0,48,0,0,0,0,0,0,6
hbase-server/src/main/java/org/apache/hadoop/hbase/filter/SingleColumnValueExcludeFilter.java,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/Chunk.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,23,1.125
hbase-client/src/main/java/org/apache/hadoop/hbase/exceptions/TableNotFoundException.java,0,0,0,0,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.583333333
hbase-client/src/main/java/org/apache/hadoop/hbase/zookeeper/ZKUtil.java,0,0,0,0,0,0,95,148,85,11,0,88,57,16,138,0,100,201,0,0,0,0,11,0,39.58333333
src/java/org/apache/hadoop/hbase/mapreduce/RowCounter.java,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25
hbase-server/src/test/java/org/apache/hadoop/hbase/replication/DualAsyncFSWALForTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.208333333
src/contrib/stargate/src/test/org/apache/hadoop/hbase/stargate/TestSchemaResource.java,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667
