Class,Xerces-J_1_1_0,Xerces-J_1_2_0,Xerces-J_1_3_0,Xerces-J_1_4_0,Xerces-J_2_0_0,Xerces-J_2_1_0,Xerces-J_2_2_0,Xerces-J_2_3_0,Xerces-J_2_4_0,Xerces-J_2_5_0,Xerces-J_2_6_0,Xerces-J_2_7_0,Xerces-J_2_8_0,Xerces-J_2_9_0,Xerces-J_2_10_0,Xerces-J_2_11_0,Xerces-J_2_12_0,,average
src/org/apache/xerces/impl/dtd/XMLDTDLoader.java,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,,0.764705882
src/org/apache/xerces/impl/xs/traversers/XSAttributeChecker.java,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,,1.294117647
src/org/apache/xerces/impl/xs/opti/ElementImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,,1.117647059
src/org/apache/xerces/impl/dv/xs/MonthDayDV.java,0,0,0,0,0,0,0,0,0,0,0,28,0,0,6,0,0,,2
src/org/apache/xerces/impl/xs/traversers/XSDAttributeGroupTraverser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,0.352941176
src/org/apache/xerces/xinclude/XIncludeHandler.java,0,0,0,0,0,0,0,0,0,0,0,85,14,22,20,0,0,,8.294117647
src/org/apache/xerces/impl/dv/xs/AbstractDateTimeDV.java,0,0,0,0,0,0,0,0,0,0,0,287,0,0,180,0,0,,27.47058824
src/org/apache/xerces/impl/xs/XSNotationDecl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,0,0,,1.705882353
src/org/apache/xerces/dom/CoreDOMImplementationImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,0.764705882
src/org/apache/xerces/impl/XML11DocumentScannerImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,0.235294118
src/org/apache/xerces/impl/dv/xs/XSSimpleTypeDecl.java,0,0,0,0,0,0,0,0,0,0,0,204,0,300,32,40,0,,33.88235294
src/org/apache/xml/serialize/XML11Serializer.java,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,,1.117647059
src/org/apache/xerces/impl/xs/traversers/XSDAbstractTraverser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,0.235294118
tests/jaxp/JAXPSecureProcessingTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,0.352941176
src/org/apache/xerces/impl/msg/DOMMessages.properties,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0.117647059
src/org/apache/html/dom/HTMLTableRowElementImpl.java,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,,0.764705882
