Class,REL_1_5_1,REL_2_5_1,REL_3_0,REL_3_1_FINAL,REL_3_2_FINAL,REL_3_5-FINAL,REL_3_6,REL_3_7,REL_3_8_FINAL,REL_3_9,REL_3_10_FINAL,REL_3_11_FINAL,REL_3_12_FINAL,REL_3_13_FINAL,REL_3_14_FINAL,REL_3_15_FINAL,REL_3_16_FINAL,REL_3_17_FINAL,REL_4_0_0_FINAL,REL_4_1_0,REL_5_0_0,REL_5_1_0,REL_5_2_0,REL_5_2_2,,average
src/ooxml/testcases/org/apache/poi/xssf/AllXSSFTests.java,0,0,0,0,0,54,0,0,0,0,38,0,0,0,0,3,0,0,0,0,0,0,0,0,,3.958333333
src/scratchpad/src/org/apache/poi/hwpf/model/OldTextPieceTable.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,6,0,0,0,0,0,,5.375
src/java/org/apache/poi/ss/formula/CellLocation.java,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.958333333
src/java/org/apache/poi/ss/formula/functions/AggregateFunction.java,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.583333333
src/testcases/org/apache/poi/ss/usermodel/BaseTestPicture.java,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,,3.125
src/testcases/org/apache/poi/ss/formula/atp/TestNetworkdaysFunction.java,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,,1.291666667
src/testcases/org/apache/poi/hssf/usermodel/TestHSSFCell.java,0,4,40,0,0,41,0,0,0,0,0,0,33,105,0,44,0,0,0,0,0,0,0,0,,11.125
src/java/org/apache/poi/sl/usermodel/Hyperlink.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.041666667
src/java/org/apache/poi/hssf/record/DataFormatRecord.java,0,0,5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.75
src/java/org/apache/poi/hssf/usermodel/EscherGraphics.java,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,,1.041666667
src/ooxml/java/org/apache/poi/xssf/usermodel/XSSFHyperlink.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,132,0,0,0,3,0,0,0,0,,8.375
src/java/org/apache/poi/sl/draw/geom/Context.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,,1.416666667
src/java/org/apache/poi/poifs/crypt/DataSpaceMapUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,,0.291666667
osgi/README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,,2.416666667
src/java/org/apache/poi/hssf/record/formula/functions/Sumx2my2.java,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.875
src/ooxml/testcases/org/apache/poi/openxml4j/opc/AllOpenXML4JTests.java,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,,1.583333333
src/scratchpad/src/org/apache/poi/hslf/record/CString.java,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,,0.708333333
src/ooxml/java/org/apache/poi/openxml4j/util/ZipFileZipEntrySource.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,,1.125
src/testcases/org/apache/poi/hssf/record/formula/functions/TestCountFuncs.java,0,0,0,0,19,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.333333333
src/testcases/org/apache/poi/hssf/record/TestExternalNameRecord.java,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.083333333
src/ooxml/java/org/apache/poi/xwpf/usermodel/ParagraphAlignment.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,,1.125
src/scratchpad/src/org/apache/poi/hslf/record/InteractiveInfoAtom.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,,0.291666667
src/java/org/apache/poi/poifs/filesystem/FileMagic.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,,2
src/examples/src/org/apache/poi/examples/xslf/BarChartDemo.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0.083333333
src/java/org/apache/poi/hssf/record/formula/eval/TwoOperandNumericOperation.java,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.333333333
src/java/org/apache/poi/poifs/crypt/cryptoapi/CryptoAPIDocumentOutputStream.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,,3.083333333
src/ooxml/testcases/org/apache/poi/TestPOIXMLDocument.java,0,0,0,0,0,0,0,0,11,0,0,0,0,34,0,0,37,0,0,0,0,0,0,0,,3.416666667
src/java/org/apache/poi/hssf/record/crypto/Biff8RC4Key.java,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,155,0,0,0,0,0,0,0,,12.91666667
src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFCell.java,0,0,0,0,0,0,0,0,0,0,34,0,0,9,0,0,0,0,11,0,0,0,0,0,,2.25
src/ooxml/testcases/org/apache/poi/xssf/extractor/TestXSSFExcelExtractorUsingFactory.java,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.541666667
maven/ooxml-schemas.pom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0.083333333
src/ooxml/java/org/apache/poi/xssf/usermodel/XSSFCreationHelper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,2,0,0,0,0,0,,0.916666667
src/ooxml/java/org/apache/poi/poifs/crypt/agile/AgileEncryptionVerifier.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,,3.666666667
src/ooxml/java/org/apache/poi/xssf/usermodel/XSSFRow.java,0,0,0,0,0,17,0,0,0,0,0,33,4,0,33,77,0,0,2,0,106,0,0,0,,11.33333333
src/ooxml/java/org/apache/poi/POIXMLTextExtractor.java,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.583333333
src/ooxml/testcases/org/apache/poi/xslf/TestXSLFSlideShow.java,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,,0.75
src/java/org/apache/poi/ss/usermodel/FillPatternType.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,,2.416666667
src/java/org/apache/poi/hssf/record/ExternSheetRecord.java,0,0,2,0,409,0,0,0,0,0,0,28,0,0,9,8,0,0,0,0,0,0,0,0,,19
src/java/org/apache/poi/hssf/eventusermodel/HSSFEventFactory.java,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.041666667
src/scratchpad/src/org/apache/poi/hslf/model/MasterSheet.java,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5
src/scratchpad/src/org/apache/poi/hwpf/model/CharIndexTranslator.java,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.291666667
src/java/org/apache/poi/hssf/record/RefModeRecord.java,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.083333333
src/examples/src/org/apache/poi/ss/examples/SSPerformanceTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,,0.625
src/java/org/apache/poi/poifs/crypt/cryptoapi/CryptoAPIEncryptor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,,4.833333333
src/scratchpad/src/org/apache/poi/hwmf/draw/HwmfImageRenderer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,,2.541666667
src/testcases/org/apache/poi/hssf/usermodel/TestHSSFSheet.java,0,45,77,0,316,50,0,0,22,16,188,0,0,7,52,2,0,0,0,0,4,0,0,0,,32.45833333
src/ooxml/testcases/org/apache/poi/xwpf/usermodel/TestXWPFNumbering.java,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.125
src/ooxml/java/org/apache/poi/util/XmlSort.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,,3.666666667
src/ooxml/java/org/apache/poi/xwpf/usermodel/XWPFNumbering.java,0,0,0,0,0,0,0,0,14,0,0,7,0,0,0,0,0,0,0,0,16,0,0,0,,1.541666667
src/testcases/org/apache/poi/ss/formula/functions/TestDec2Hex.java,0,0,0,0,0,0,0,0,0,0,5,0,143,22,0,0,0,0,0,0,0,0,0,0,,7.083333333
src/ooxml/java/org/apache/poi/openxml4j/opc/internal/unmarshallers/PackagePropertiesUnmarshaller.java,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.166666667
src/java/org/apache/poi/ddf/EscherSpRecord.java,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.208333333
src/scratchpad/src/org/apache/poi/hwpf/sprm/SprmOperation.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,,1.041666667
src/ooxml/testcases/org/apache/poi/xssf/model/TestMapInfo.java,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0.083333333
src/java/org/apache/poi/poifs/crypt/EncryptionMode.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,0.166666667
src/scratchpad/src/org/apache/poi/hslf/usermodel/HSLFTextShape.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,,1.416666667
src/ooxml/testcases/org/apache/poi/xssf/usermodel/TestXSSFHyperlink.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,0,0,0,0,0,0,0,0,,3.041666667
src/scratchpad/src/org/apache/poi/hmef/HMEFMessage.java,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.375
src/scratchpad/src/org/apache/poi/hslf/usermodel/HSLFFill.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,,1.458333333
src/java/org/apache/poi/hssf/record/aggregates/PageSettingsBlock.java,0,0,0,0,0,129,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.458333333
src/examples/src/org/apache/poi/xssf/usermodel/examples/LineChart.java,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.291666667
src/java/org/apache/poi/hssf/record/AxisRecord.java,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.208333333
src/testcases/org/apache/poi/ss/formula/ptg/TestExternalNameReference.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,0.25
src/testcases/org/apache/poi/ss/formula/functions/TestHex2Dec.java,0,0,0,0,0,0,0,0,0,0,60,0,61,0,0,0,0,0,0,0,0,0,0,0,,5.041666667
src/java/org/apache/poi/ss/formula/TwoDEval.java,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.291666667
src/java/org/apache/poi/sl/draw/DrawFreeformShape.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,,0.875
src/ooxml/java/org/apache/poi/xddf/usermodel/text/XDDFTabStop.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0.125
src/ooxml/java/org/apache/poi/xslf/usermodel/XSLFComment.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,5,0,0,0,,5.458333333
src/java/org/apache/poi/poifs/crypt/binaryrc4/BinaryRC4EncryptionVerifier.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,,0.416666667
src/ooxml/testcases/org/apache/poi/TestXMLPropertiesTextExtractor.java,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.458333333
src/scratchpad/testcases/org/apache/poi/hemf/usermodel/TestHemfPicture.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,,1.333333333
src/java/org/apache/poi/hpsf/UnicodeString.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,0.208333333
src/testcases/org/apache/poi/hssf/usermodel/TestHSSFHyperlink.java,0,0,0,0,0,45,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,,3.375
src/ooxml/testcases/org/apache/poi/xssf/usermodel/TestXSSFShape.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,,2.875
src/java/org/apache/poi/poifs/storage/RawDataBlock.java,0,3,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,1.583333333
src/testcases/org/apache/poi/hssf/record/TestSupBookRecord.java,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.083333333
src/scratchpad/src/org/apache/poi/hpbf/model/EscherPart.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,,0.291666667
src/java/org/apache/poi/hssf/usermodel/DVConstraint.java,0,0,0,0,517,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,21.66666667
src/ooxml/java/org/apache/poi/xddf/usermodel/chart/XDDFDoughnutChartData.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,,2.958333333
