Class,release-1.1,release-1.2,release-1.3,release-1.4,release-1.5,release-1.6,release-1.7,release-1.8,release-1.9,release-1.10,release-1.12,release-1.13,release-1.14,release-1.15,release-1.16,release-1.17,release-1.18,release-2.0,release-2.1,release-2.2,release-2.3,release-2.4,average
src/plugin/urlfilter-domainblacklist/src/java/org/apache/nutch/urlfilter/domainblacklist/DomainBlacklistURLFilter.java,0,0,0,0,12,0,0,0,0,0,0,0,10,0,0,148,80,0,0,0,0,0,11.36363636
src/java/org/apache/nutch/scoring/ScoringFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.863636364
src/plugin/protocol-httpclient/src/java/org/apache/nutch/protocol/httpclient/Http.java,0,0,5,0,0,0,0,0,6,0,63,0,0,4,0,8,4,0,0,0,4,4,4.454545455
src/plugin/protocol-file/src/java/org/apache/nutch/protocol/file/FileResponse.java,0,0,123,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6.318181818
src/plugin/indexer-elastic/src/java/org/apache/nutch/indexwriter/elastic/ElasticConstants.java,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.272727273
src/java/org/apache/nutch/indexer/NutchIndexAction.java,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.136363636
src/java/org/apache/nutch/crawl/CrawlDatum.java,2,0,0,2,0,0,0,0,0,0,0,0,18,0,9,0,0,0,0,0,0,0,1.409090909
src/java/org/apache/nutch/protocol/ProtocolFactory.java,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,44,0,4
src/plugin/parse-swf/src/java/org/apache/nutch/parse/swf/SWFParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.090909091
src/java/org/apache/nutch/util/EncodingDetector.java,0,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,10,1.818181818
src/test/org/apache/nutch/crawl/TODOTestCrawlDbStates.java,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,3.363636364
src/java/org/apache/nutch/util/NutchConfiguration.java,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.318181818
src/java/org/apache/nutch/tools/CommonCrawlFormatFactory.java,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0.772727273
src/java/org/apache/nutch/storage/WebPage.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,8.454545455
src/java/org/apache/nutch/api/model/response/NutchStatus.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1.545454545
src/plugin/parse-tika/src/test/org/apache/nutch/parse/tika/TestRobotsMetaProcessor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1.272727273
src/plugin/parse-tika/src/test/org/apache/nutch/parse/tika/TestRSSParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0.272727273
src/plugin/parse-metatags/src/test/org/apache/nutch/parse/metatags/TestMetatagParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1.272727273
src/java/org/apache/nutch/searcher/DistributedSegmentBean.java,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636364
src/java/org/apache/nutch/storage/StorageUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,0.954545455
src/java/org/apache/nutch/crawl/Injector.java,0,23,23,0,0,0,0,26,0,0,0,0,40,18,0,0,0,0,0,0,0,0,5.909090909
src/plugin/parse-zip/src/java/org/apache/nutch/parse/zip/ZipParser.java,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0.181818182
src/java/org/apache/nutch/util/WebPageWritable.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.181818182
src/java/org/apache/nutch/fetcher/PartitionUrlByHost.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,1.772727273
src/plugin/creativecommons/src/java/org/creativecommons/nutch/CCIndexingFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.318181818
src/plugin/scoring-opic/src/java/org/apache/nutch/scoring/opic/OPICScoringFilter.java,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,2,0.636363636
src/test/org/apache/nutch/crawl/TestCrawlDbFilter.java,0,0,0,0,0,0,136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.227272727
src/java/org/apache/nutch/hostdb/UpdateHostDb.java,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,1.181818182
src/plugin/subcollection/src/java/org/apache/nutch/indexer/subcollection/SubcollectionIndexingFilter.java,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.227272727
src/java/org/apache/nutch/webui/pages/instances/InstancesPage.java,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0.727272727
src/plugin/index-links/src/java/org/apache/nutch/indexer/links/LinksIndexingFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1.090909091
src/plugin/index-metadata/src/java/org/apache/nutch/indexer/metadata/MetadataIndexer.java,0,0,0,0,0,0,14,0,0,0,0,6,2,0,7,14,0,0,0,0,0,2,2.045454545
src/plugin/index-links/src/test/org/apache/nutch/parse/TestOutlinks.java,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,2.454545455
src/java/org/apache/nutch/indexer/NutchField.java,0,64,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
src/java/org/apache/nutch/hostdb/UpdateHostDbMapper.java,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0.636363636
src/java/org/apache/nutch/parse/ParserChecker.java,0,0,0,0,2,3,0,0,0,28,0,0,2,122,0,0,0,0,0,0,2,6,7.5
src/java/org/apache/nutch/searcher/response/RequestUtils.java,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545
src/plugin/feed/src/java/org/apache/nutch/indexer/feed/FeedIndexingFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.090909091
src/java/org/apache/nutch/crawl/Crawl.java,5,0,0,0,2,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.090909091
src/java/org/apache/nutch/api/resources/JobResource.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.090909091
src/java/org/apache/nutch/util/NutchJob.java,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,16,7,0,0,4,2.636363636
src/plugin/parse-js/src/java/org/apache/nutch/parse/js/JSParseFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.409090909
src/plugin/protocol-okhttp/src/java/org/apache/nutch/protocol/okhttp/OkHttp.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,2.818181818
