Class,rel/1.2,rel/1.3,rel/1.4,rel/1.5,rel/1.6.0,rel/1.7.0,rel/1.8.0,rel/1.9.0,rel/1.10.0,rel/1.10.12,,average
src/etc/testcases/taskdefs/signjar.xml,0,0,0,0,0,5,0,0,0,0,,0.5
manual/Tasks/copy.html,0,0,0,0,0,0,0,6,0,0,,0.6
docs/manual/using.html,0,0,0,0,16,0,0,0,0,0,,1.6
src/main/org/apache/tools/ant/types/selectors/DifferentSelector.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/types/ArchiveFileSet.java,0,0,0,0,0,0,34,6,0,0,,4
src/tests/antunit/taskdefs/propertyfile-test.xml,0,0,0,0,0,0,0,43,0,0,,4.3
manual/running.html,0,0,0,0,0,0,0,4,0,0,,0.4
src/etc/testcases/taskdefs/style/printFilename.xsl,0,0,0,0,0,22,0,0,0,0,,2.2
src/main/org/apache/tools/ant/taskdefs/optional/NetRexxC.java,0,0,0,0,0,0,0,166,0,0,,16.6
src/etc/testcases/taskdefs/style/build.xml,0,0,0,0,0,70,0,0,0,0,,7
src/etc/testcases/taskdefs/property.xml,0,0,0,0,0,0,27,0,0,0,,2.7
src/tests/junit/org/apache/tools/ant/BuildFileTest.java,0,0,0,0,0,0,12,8,0,0,,2
src/main/org/apache/tools/ant/taskdefs/optional/net/RExecTask.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/testcases/org/apache/tools/ant/taskdefs/StyleTest.java,0,0,0,0,0,51,0,0,0,0,,5.1
src/main/org/apache/tools/ant/taskdefs/Available.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Handler.java,0,0,0,0,8,0,0,0,0,0,,0.8
src/main/org/apache/tools/ant/util/LineTokenizer.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/etc/testcases/taskdefs/import/recursive-selfimport.xml,0,0,0,0,0,0,5,0,0,0,,0.5
src/main/org/apache/tools/ant/taskdefs/Javadoc.java,0,0,0,0,0,0,0,8,0,142,,15
src/main/org/apache/tools/zip/ZipEntry.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/tests/junit/org/apache/tools/ant/types/EnumeratedAttributeTest.java,0,0,0,0,0,20,0,0,0,0,,2
manual/Tasks/war.html,0,0,0,0,0,0,0,4,0,0,,0.4
src/main/org/apache/tools/ant/taskdefs/Retry.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/DefaultLogger.java,0,0,0,0,0,11,0,0,0,0,,1.1
CONTRIBUTORS,0,0,0,0,0,1,1,1,0,0,,0.3
src/tests/junit/org/apache/tools/ant/taskdefs/ExecuteOnTest.java,0,0,0,0,0,599,0,0,0,0,,59.9
src/main/org/apache/tools/ant/types/selectors/AbstractSelectorContainer.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/tests/junit/org/apache/tools/ant/types/MapperTest.java,0,0,0,0,0,0,0,0,0,4,,0.4
docs/manual/CoreTasks/move.html,0,0,0,0,22,0,0,0,0,0,,2.2
src/main/org/apache/tools/ant/taskdefs/Recorder.java,0,0,0,0,0,0,0,2,0,0,,0.2
docs/manual/CoreTasks/style.html,0,0,0,0,0,56,0,0,0,0,,5.6
manual/Tasks/manifest.html,0,0,0,0,0,0,0,4,0,0,,0.4
src/main/org/apache/tools/ant/util/FileUtils.java,0,0,0,0,16,144,0,1,0,15,,17.6
src/main/org/apache/tools/ant/taskdefs/SubAnt.java,0,0,0,0,0,27,0,2,0,0,,2.9
src/main/org/apache/tools/ant/taskdefs/optional/sos/SOS.java,0,0,0,0,0,0,0,2,0,0,,0.2
WHATSNEW,0,0,0,0,2,10,30,56,2,5,,10.5
src/etc/testcases/taskdefs/subant/subant-test2/mysubant.xml,0,0,0,0,0,6,0,0,0,0,,0.6
docs/manual/CoreTasks/echo.html,0,0,0,0,0,81,0,0,0,0,,8.1
src/main/org/apache/tools/ant/taskdefs/optional/ejb/GenericDeploymentTool.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/testcases/org/apache/tools/ant/TaskContainerTest.java,0,0,0,0,8,0,0,0,0,0,,0.8
src/main/org/apache/tools/ant/util/LayoutPreservingProperties.java,0,0,0,0,0,0,0,8,0,0,,0.8
src/main/org/apache/tools/ant/taskdefs/JDBCTask.java,0,0,0,0,0,0,0,4,0,0,,0.4
src/main/org/apache/tools/ant/taskdefs/condition/Matches.java,0,0,0,0,0,0,0,2,0,0,,0.2
src/main/org/apache/tools/ant/util/KeepAliveOutputStream.java,0,0,0,0,0,0,0,4,0,0,,0.4
src/main/org/apache/tools/ant/ComponentHelper.java,0,0,0,0,0,0,0,4,0,0,,0.4
