Class,activemq-4.1.0,activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-5.3.0,activemq-5.4.0,activemq-5.5.0,activemq-5.6.0,activemq-5.7.0,activemq-5.8.0,activemq-5.9.0,activemq-5.10.0,activemq-5.11.0,activemq-5.12.0,activemq-5.13.0,activemq-5.14.0,activemq-5.15.0,activemq-5.16.0,activemq-5.17.0,,average
activemq-core/src/test/java/org/apache/activemq/security/SimpleAuthenticationPluginTest.java,0,0,0,22,0,25,0,0,0,17,0,0,0,0,0,0,0,0,0,,3.368421053
kahadb/src/main/java/org/apache/kahadb/util/LinkedNode.java,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0.105263158
activemq-web-console/src/main/webapp/topicProducers.jsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,0.421052632
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/CompositeDataConstants.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.052631579
activemq-core/src/main/java/org/apache/activemq/command/ActiveMQMessage.java,0,11,71,0,8,6,41,0,0,0,0,0,0,0,0,0,0,0,0,,7.210526316
activemq-cpp/src/test/activemq/transport/DummyTransport.h,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.894736842
activemq-cpp/src/test/activemq/connector/stomp/commands/BeginCommandTest.h,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.894736842
activemq-core/src/main/java/org/apache/activemq/broker/jmx/ConnectorView.java,0,0,0,0,19,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,1.368421053
activemq-client/src/main/java/org/apache/activemq/ActiveMQSession.java,0,0,0,0,0,0,0,0,0,0,47,92,0,271,4,0,5,31,8,,24.10526316
activemq-core/src/main/java/org/apache/activemq/broker/view/ConnectionDotFileInterceptor.java,37,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.210526316
activemq-core/src/main/java/org/apache/activemq/broker/region/TopicSubscription.java,0,40,26,0,35,167,3,15,84,107,0,0,0,0,0,0,0,0,0,,25.10526316
activemq-unit-tests/src/test/java/org/apache/activemq/ZeroPrefetchConsumerTest.java,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,,0.736842105
activemq-pool/src/main/java/org/apache/activemq/pool/ConnectionPool.java,0,0,0,0,0,7,0,82,6,0,41,0,0,0,0,0,0,0,0,,7.157894737
activemq-core/src/test/java/org/apache/activemq/usecases/JDBCDurableSubscriptionTest.java,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.947368421
activemq-mqtt/src/test/java/org/apache/activemq/transport/mqtt/MQTTPingReqTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,,9.578947368
activemq-broker/src/main/java/org/apache/activemq/network/DiscoveryNetworkConnector.java,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,13,0,0,0,,1.684210526
activemq-core/src/test/java/org/apache/activemq/bugs/AMQ4062Test.java,0,0,0,0,0,0,0,0,273,1,0,0,0,0,0,0,0,0,0,,14.42105263
activemq-web-console/src/main/webapp/WEB-INF/webconsole-query.xml,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1.368421053
activemq-amqp/src/test/java/org/apache/activemq/transport/amqp/IDERunner.java,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,,2.105263158
activemq-core/src/main/java/org/apache/activemq/broker/ErrorBroker.java,5,0,4,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,,0.789473684
activemq-tooling/activemq-junit/src/main/java/org/apache/activemq/junit/ActiveMQTestRunner.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,,6.105263158
activemq-client/src/main/java/org/apache/activemq/openwire/v8/ConnectionControlMarshaller.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.052631579
activemq-broker/src/main/java/org/apache/activemq/security/TempDestinationAuthorizationEntry.java,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,,1
activemq-unit-tests/src/test/java/org/apache/activemq/security/JaasDualAuthenticationNetworkBridgeTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,10,0,0,,7.842105263
activemq-unit-tests/src/test/java/org/apache/activemq/transport/discovery/DiscoveryNetworkReconnectTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0.157894737
activemq-client/src/main/java/org/apache/activemq/openwire/v10/ActiveMQBytesMessageMarshaller.java,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,,6
activemq-client/src/main/java/org/apache/activemq/openwire/v10/BrokerInfoMarshaller.java,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,,10.84210526
activemq-broker/src/main/java/org/apache/activemq/broker/region/virtual/VirtualTopicInterceptor.java,0,0,0,0,0,0,0,0,0,0,16,0,0,0,13,4,0,0,0,,1.736842105
activemq-kahadb-store/src/test/java/org/apache/activemq/store/kahadb/JournalMetaDataCheckpointTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,,11.63157895
activemq-broker/src/main/java/org/apache/activemq/broker/region/QueueSubscription.java,0,0,0,0,0,0,0,0,0,2,17,0,8,0,0,0,2,0,0,,1.526315789
activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOMaxFrameSizeCleanupTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,,8.105263158
activemq-cpp/src/test-integration/integration/common/Tester.h,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.894736842
activemq-unit-tests/src/test/java/org/apache/activemq/usecases/PriorityRedeliveryOrderTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,,11.05263158
activemq-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubDelayedUnsubscribeTest.java,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,,0.789473684
activemq-core/src/test/java/org/apache/activemq/usecases/MessageGroupCloseTest.java,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,,11.68421053
activemq-jms-pool/src/test/java/org/apache/activemq/jms/pool/PooledConnectionFactoryWithTemporaryDestinationsTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,19,0,,3.315789474
