Class,2.0.0,2.1.0,2.2.0,2.3.0,2.4.0,rel/2.5.0,average
src/java/org/apache/ivy/core/install/InstallOptions.java,0,0,0,8,0,0,1.333333333
test/java/org/apache/ivy/plugins/parser/m2/MavenVersionRangeParserTest.java,0,0,0,0,0,139,23.16666667
src/java/org/apache/ivy/util/FileUtil.java,35,0,12,120,0,186,58.83333333
src/java/org/apache/ivy/core/deliver/DeliverEngine.java,4,0,11,51,49,0,19.16666667
test/java/org/apache/ivy/core/publish/PublishEventsTest.java,6,0,0,0,0,0,1
src/java/org/apache/ivy/ant/AntCallTrigger.java,15,0,0,0,0,0,2.5
src/java/org/apache/ivy/plugins/conflict/StrictConflictManager.java,8,0,0,0,0,0,1.333333333
src/java/org/apache/ivy/plugins/report/LogReportOutputter.java,3,3,0,0,0,0,1
test/java/org/apache/ivy/osgi/core/OSGiManifestParserTest.java,0,0,0,0,0,23,3.833333333
src/java/org/apache/ivy/core/module/descriptor/Artifact.java,32,0,0,0,0,0,5.333333333
test/java/org/apache/ivy/plugins/resolver/ChainResolverTest.java,200,0,0,0,0,0,33.33333333
src/java/org/apache/ivy/util/XMLHelper.java,53,0,26,31,30,0,23.33333333
test/java/org/apache/ivy/util/url/ApacheURLListerTest.java,2,0,9,0,0,0,1.833333333
src/java/org/apache/ivy/osgi/obr/filter/UniOperatorFilter.java,0,0,0,2,0,0,0.333333333
test/java/org/apache/ivy/util/url/AbstractURLHandlerTest.java,0,0,72,0,0,0,12
src/java/org/apache/ivy/ant/IvyResolve.java,27,26,0,9,0,0,10.33333333
test/java/org/apache/ivy/plugins/circular/WarnCircularDependencyStrategyTest.java,3,0,0,0,0,0,0.5
src/java/org/apache/ivy/util/url/URLHandler.java,14,0,0,11,11,0,6
src/java/org/apache/ivy/plugins/lock/CreateFileLockStrategy.java,0,0,0,0,27,0,4.5
src/java/org/apache/ivy/ant/IvyDeliver.java,12,0,11,3,3,0,4.833333333
src/java/org/apache/ivy/core/resolve/IvyNodeUsage.java,395,23,0,0,0,54,78.66666667
src/java/org/apache/ivy/ant/IvyCacheTask.java,7,0,0,0,0,0,1.166666667
test/java/org/apache/ivy/TestHelper.java,8,0,0,0,0,141,24.83333333
src/java/fr/jayasoft/ivy/resolver/ResolverHelper.java,16,0,0,0,0,0,2.666666667
test/java/org/apache/ivy/osgi/updatesite/UpdateSiteAndIbiblioResolverTest.java,0,0,0,121,121,0,40.33333333
src/java/org/apache/ivy/osgi/obr/xml/OBRXMLWriter.java,0,0,0,24,0,0,4
src/java/org/apache/ivy/osgi/core/ManifestHeaderValue.java,0,0,0,0,9,0,1.5
src/java/org/apache/ivy/ant/IvyConvertPom.java,10,0,0,0,0,0,1.666666667
src/java/org/apache/ivy/core/sort/ModuleDescriptorSorter.java,91,0,0,0,0,0,15.16666667
test/java/org/apache/ivy/core/sort/SortTest.java,379,0,0,0,0,0,63.16666667
src/java/org/apache/ivy/core/resolve/IvyNodeEviction.java,101,0,2,25,0,0,21.33333333
src/java/org/apache/ivy/plugins/resolver/packager/PackagerCacheEntry.java,0,2,0,7,0,0,1.5
src/java/org/apache/ivy/core/module/id/ModuleRules.java,0,0,0,0,37,0,6.166666667
src/java/org/apache/ivy/plugins/resolver/AbstractResolver.java,178,45,62,3,0,14,50.33333333
src/java/org/apache/ivy/plugins/latest/LatestStrategy.java,2,0,0,0,0,0,0.333333333
src/java/org/apache/ivy/plugins/matcher/ModuleIdMatcher.java,5,0,0,0,0,0,0.833333333
src/java/fr/jayasoft/ivy/repository/AbstractRepository.java,4,0,0,0,0,0,0.666666667
test/java/org/apache/ivy/core/NormalRelativeUrlResolverTest.java,52,0,0,0,0,0,8.666666667
test/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManagerTest.java,0,0,0,0,0,80,13.33333333
src/java/org/apache/ivy/Ivy14.java,8,0,0,0,0,0,1.333333333
src/java/org/apache/ivy/plugins/repository/url/URLResource.java,0,0,2,0,0,0,0.333333333
test/java/org/apache/ivy/osgi/obr/RequirementFilterTest.java,0,0,0,21,0,0,3.5
src/java/org/apache/ivy/core/sort/DefaultNonMatchingVersionReporter.java,48,0,0,0,0,0,8
src/java/org/apache/ivy/osgi/core/OsgiLatestStrategy.java,0,0,0,1,5,0,1
src/java/org/apache/ivy/plugins/lock/NIOFileLockStrategy.java,0,0,0,0,27,0,4.5
src/java/org/apache/ivy/ant/IvyCachePath.java,2,0,0,0,0,0,0.333333333
test/java/org/apache/ivy/util/MockMessageLogger.java,110,0,0,0,0,0,18.33333333
test/java/org/apache/ivy/util/TestXmlHelper.java,0,0,0,0,0,74,12.33333333
src/java/org/apache/ivy/core/module/descriptor/Configuration.java,40,0,0,0,0,0,6.666666667
test/java/org/apache/ivy/plugins/resolver/DualResolverTest.java,12,0,0,0,0,0,2
src/java/org/apache/ivy/core/settings/Validatable.java,32,0,0,0,0,0,5.333333333
src/java/org/apache/ivy/core/module/descriptor/OverrideDependencyDescriptorMediator.java,0,0,0,0,6,0,1
src/java/org/apache/ivy/util/url/ApacheURLLister.java,3,17,21,12,23,18,15.66666667
src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorParser.java,651,37,6,26,12,211,157.1666667
src/java/org/apache/ivy/plugins/repository/TransferEvent.java,0,0,2,0,0,0,0.333333333
src/java/org/apache/ivy/core/sort/NonMatchingVersionReporter.java,33,0,0,0,0,0,5.5
test/java/org/apache/ivy/ant/IvyPostResolveTest.java,150,0,0,0,0,0,25
src/java/org/apache/ivy/plugins/version/VersionMatcher.java,18,0,0,0,0,0,3
src/java/org/apache/ivy/osgi/obr/filter/RequirementFilterParser.java,0,0,0,23,0,0,3.833333333
src/java/org/apache/ivy/plugins/resolver/FileSystemResolver.java,31,0,9,15,0,0,9.166666667
src/java/org/apache/ivy/core/event/resolve/ResolveDependencyEvent.java,0,2,0,0,0,0,0.333333333
src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java,47,8,126,14,0,115,51.66666667
test/java/org/apache/ivy/plugins/resolver/MockResolver.java,52,5,0,0,0,0,9.5
src/java/org/apache/ivy/util/HostUtil.java,14,0,0,0,0,0,2.333333333
test/java/org/apache/ivy/ant/IvyTaskTest.java,10,0,0,0,0,0,1.666666667
src/java/org/apache/ivy/util/MessageLoggerEngine.java,261,0,0,0,0,0,43.5
src/java/org/apache/ivy/Main.java,33,3,0,0,0,70,17.66666667
test/java/org/apache/ivy/core/event/IvyEventFilterTest.java,24,0,0,0,0,0,4
src/java/org/apache/ivy/plugins/circular/IgnoreCircularDependencyStrategy.java,0,0,0,2,2,0,0.666666667
test/java/org/apache/ivy/core/install/InstallTest.java,35,0,0,0,0,0,5.833333333
src/java/org/apache/ivy/core/resolve/IvyNode.java,628,32,16,19,4,37,122.6666667
src/java/org/apache/ivy/ant/IvyRetrieve.java,5,0,0,0,0,0,0.833333333
src/java/org/apache/ivy/core/module/id/ModuleRevisionId.java,16,14,24,0,0,0,9
src/java/org/apache/ivy/core/module/descriptor/ExtraInfoHolder.java,0,0,0,0,73,0,12.16666667
src/java/org/apache/ivy/core/module/id/ArtifactRevisionId.java,12,0,0,0,0,0,2
test/java/org/apache/ivy/util/MockMessageImpl.java,219,0,0,0,0,0,36.5
test/java/org/apache/ivy/plugins/resolver/IBiblioResolverTest.java,88,0,0,0,0,126,35.66666667
test/java/org/apache/ivy/ant/IvyRetrieveTest.java,68,10,0,0,0,0,13
test/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorWriterTest.java,0,0,15,68,45,0,21.33333333
src/java/org/apache/ivy/ant/IvyExtractFromSources.java,7,0,0,0,0,0,1.166666667
src/java/org/apache/ivy/core/sort/SortEngine.java,38,0,0,0,0,0,6.333333333
src/java/org/apache/ivy/util/url/IvyAuthenticator.java,29,0,46,48,0,2,20.83333333
src/java/org/apache/ivy/plugins/latest/LatestRevisionStrategy.java,80,0,0,1,5,0,14.33333333
src/java/org/apache/ivy/ant/IvyFindRevision.java,2,6,0,2,2,0,2
test/java/org/apache/ivy/ant/IvyCacheFilesetTest.java,56,0,0,1,0,37,15.66666667
test/java/org/apache/ivy/ant/IvyBuildNumberTest.java,0,31,0,0,0,0,5.166666667
src/java/org/apache/ivy/util/extendable/ExtendableItemHelper.java,0,0,0,0,0,74,12.33333333
test/java/org/apache/ivy/core/search/SearchTest.java,61,0,32,0,0,0,15.5
src/java/org/apache/ivy/plugins/latest/AbstractLatestStrategy.java,9,0,0,0,0,0,1.5
src/java/org/apache/ivy/plugins/latest/ComparatorLatestStrategy.java,21,0,0,0,0,0,3.5
src/java/org/apache/ivy/core/report/ResolveReport.java,3,0,0,0,0,0,0.5
test/java/org/apache/ivy/plugins/lock/ArtifactLockStrategyTest.java,0,0,0,0,2,0,0.333333333
src/java/org/apache/ivy/core/search/SearchEngine.java,267,0,71,0,0,0,56.33333333
src/java/org/apache/ivy/plugins/repository/ssh/SshCache.java,7,1,0,0,3,0,1.833333333
src/java/org/apache/ivy/external/m2/PomModuleDescriptorParser.java,2,0,0,0,0,0,0.333333333
src/java/org/apache/ivy/core/install/InstallEngine.java,13,0,0,38,0,0,8.5
src/java/org/apache/ivy/util/MessageImpl.java,28,0,0,0,0,0,4.666666667
test/java/org/apache/ivy/ant/AntTestHelper.java,34,0,0,0,0,0,5.666666667
src/java/org/apache/ivy/util/url/BasicURLHandler.java,88,34,127,41,35,0,54.16666667
test/java/org/apache/ivy/ant/IvyResolveTest.java,120,14,0,0,31,18,30.5
src/java/org/apache/ivy/util/url/URLHandlerRegistry.java,10,0,0,0,0,0,1.666666667
src/java/org/apache/ivy/ant/IvyVar.java,2,0,0,0,0,0,0.333333333
src/java/org/apache/ivy/util/MessageLogger.java,105,0,0,0,0,0,17.5
src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorParser.java,131,49,6,252,113,2,92.16666667
src/java/org/apache/ivy/plugins/resolver/AbstractSshBasedResolver.java,8,0,0,0,0,0,1.333333333
src/java/org/apache/ivy/core/IvyContext.java,255,0,0,0,0,0,42.5
src/java/org/apache/ivy/util/FileResolver.java,44,2,0,0,0,0,7.666666667
