Class,cxf-2.2,cxf-2.3.0,cxf-2.4.0,cxf-2.5.0,cxf-2.6.0,cxf-2.7.0,cxf-3.0.0,cxf-3.1.0,cxf-3.2.0,cxf-3.3.0,cxf-3.4.0,cxf-3.5.0,cxf-3.5.3,,average
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/security/SecureBookInterfaceGenerics.java,0,0,0,0,0,0,38,0,0,0,0,0,0,,2.923076923
rt/core/src/test/resources/org/apache/cxf/wsdl11/wsdl2/person.wsdl,0,0,37,0,0,0,0,0,0,0,0,0,0,,2.846153846
rt/ws/security/src/main/java/org/apache/cxf/ws/security/trust/STSUtils.java,0,5,0,0,0,0,0,43,16,0,0,0,0,,4.923076923
rt/ws/addr/src/main/java/org/apache/cxf/ws/addressing/spring/AddressingBeanDefinitionParser.java,0,5,0,0,0,0,0,0,0,0,0,0,0,,0.384615385
rt/rs/security/jose-parent/jose-jaxrs/src/main/java/org/apache/cxf/rs/security/jose/jaxrs/JwsContainerRequestFilter.java,0,0,0,0,0,0,0,0,0,14,7,0,0,,1.615384615
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/security/jaxrs-https-client2.xml,0,0,0,0,48,0,0,0,2,0,0,0,0,,3.846153846
rt/frontend/jaxws/src/main/java/org/apache/cxf/jaxws/context/WrappedAttachments.java,0,0,0,0,0,0,220,0,0,2,0,0,0,,17.07692308
services/sts/sts-core/src/main/java/org/apache/cxf/sts/token/validator/X509TokenValidator.java,0,0,0,0,0,0,1,0,13,0,0,0,0,,1.076923077
distribution/src/main/release/samples/java_first_spring_support/src/main/webapp/WEB-INF/cxf-servlet.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
tools/validator/src/test/resources/validator_wsdl/jms_test_R2726.wsdl,0,0,0,0,174,0,0,0,0,0,0,0,0,,13.38461538
systests/ws-specs/src/test/java/org/apache/cxf/systest/ws/addr_fromjava/server/Server.java,0,0,0,0,6,0,0,0,0,0,0,0,0,,0.461538462
tools/corba/src/test/resources/idlpreprocessor/C-resolved.idl,0,0,10,0,0,0,0,0,0,0,0,0,0,,0.769230769
rt/ws/security/src/main/java/org/apache/cxf/ws/security/wss4j/policyvalidators/EndorsingEncryptedTokenPolicyValidator.java,0,0,0,0,0,5,2,0,10,6,0,0,0,,1.769230769
rt/rs/microprofile-client/src/test/java/org/apache/cxf/microprofile/client/MPRestClientCallbackTest.java,0,0,0,0,0,0,0,0,0,0,161,0,0,,12.38461538
rt/transports/websocket/src/main/java/org/apache/cxf/transport/websocket/atmosphere/AtmosphereWebSocketHandler.java,0,0,0,0,0,0,0,30,0,0,0,0,0,,2.307692308
rt/features/metrics/src/test/java/org/apache/cxf/metrics/micrometer/provider/StandardTagsTest.java,0,0,0,0,0,0,0,0,0,0,0,25,0,,1.923076923
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/BookServerResourceCreatedOutside.java,0,2,0,0,0,0,0,0,0,0,0,0,0,,0.153846154
rt/core/src/test/java/org/apache/cxf/interceptor/LoggingOutInterceptorTest.java,0,0,0,57,0,0,0,0,0,0,0,0,0,,4.384615385
distribution/bundle/minimal/pom.xml,7,25,4,0,0,0,0,0,0,0,0,0,0,,2.769230769
systests/src/test/java/org/apache/cxf/systest/http/resources/Mortimer.cxf,2,0,0,0,0,0,0,0,0,0,0,0,0,,0.153846154
distribution/src/main/release/samples/wsdl_first_soap12/README.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,,0.076923077
tools/corba/src/test/java/org/apache/cxf/tools/corba/processors/WSDLToCorbaBindingTest.java,36,0,0,0,0,0,0,0,0,0,0,0,0,,2.769230769
maven-plugins/archetypes/cxf-jaxrs-service/src/main/resources/archetype-resources/src/main/webapp/WEB-INF/web.xml,0,0,0,0,87,0,0,0,0,0,0,0,0,,6.692307692
services/sts/systests/advanced/src/test/resources/org/apache/cxf/systest/sts/secure_conv/cxf-client.xml,0,0,0,0,2,0,0,0,2,0,0,0,0,,0.307692308
rt/frontend/jaxws/src/test/java/org/apache/cxf/jaxws/JAXWSMethodInvokerTest.java,0,0,0,0,0,0,19,0,0,0,0,0,0,,1.461538462
rt/ws/addr/src/main/java/org/apache/cxf/ws/addressing/blueprint/WsBPHandler.java,0,0,0,0,0,0,2,0,7,0,0,0,0,,0.692307692
core/src/main/java/org/apache/cxf/staxutils/validation/StaxSchemaValidationOutInterceptor.java,0,0,0,0,0,0,2,0,0,0,0,0,0,,0.153846154
rt/management/src/main/java/org/apache/cxf/management/counters/CounterRepository.java,0,20,0,0,2,5,0,5,0,0,0,0,0,,2.461538462
rt/rs/security/oauth-parent/oauth/src/main/java/org/apache/cxf/rs/security/oauth/services/AccessTokenService.java,0,0,0,0,4,0,0,0,0,0,0,0,0,,0.307692308
rt/transports/websocket/pom.xml,0,0,0,0,0,0,0,6,0,1,0,0,0,,0.538461538
tools/common/src/main/java/org/apache/cxf/tools/common/ProcessorTestBase.java,0,3,0,0,0,0,0,0,0,3,9,0,0,,1.153846154
rt/features/logging/src/main/java/org/apache/cxf/ext/logging/slf4j/Slf4jEventSender.java,0,0,0,0,0,0,0,0,45,0,0,0,0,,3.461538462
rt/core/src/test/java/org/apache/cxf/wsdl11/WSDLServiceBuilderTest.java,0,2,0,0,0,0,0,0,0,0,0,0,0,,0.153846154
distribution/src/main/release/samples/wsdl_first_pure_xml/wsdl/cxf-servlet.xml,0,2,0,0,0,0,0,0,0,0,0,0,0,,0.153846154
testutils/src/main/java/org/apache/cxf/testutil/recorders/OutMessageRecorder.java,0,0,0,0,0,6,1,0,0,0,0,0,0,,0.538461538
systests/transports/src/test/resources/org/apache/cxf/systest/servlet/spring-auto-launch.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
rt/bindings/jbi/src/main/java/org/apache/cxf/binding/jbi/interceptor/JBIWrapperOutInterceptor.java,0,13,0,0,0,0,0,0,0,0,0,0,0,,1
systests/jaxrs/src/test/java/org/apache/cxf/systest/http/resources/pkcs12.xml,0,2,0,0,0,0,0,0,2,0,0,0,0,,0.307692308
systests/ws-security/src/test/java/org/apache/cxf/systest/ws/policy/SslUsernamePasswordAttachmentServiceImpl.java,0,0,0,0,0,0,31,0,0,0,0,0,0,,2.384615385
rt/databinding/aegis/src/main/java/org/apache/cxf/aegis/type/mtom/StreamDataSource.java,0,0,65,0,0,0,0,0,0,0,0,0,0,,5
rt/rs/security/oauth-parent/oauth2/src/main/java/org/apache/cxf/rs/security/oauth2/provider/JCacheOAuthDataProvider.java,0,0,0,0,0,0,0,0,8,10,0,0,0,,1.384615385
rt/core/src/main/java/org/apache/cxf/workqueue/AutomaticWorkQueueImpl.java,0,120,0,47,0,0,0,0,0,0,0,0,0,,12.84615385
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/BookStoreWithInterface.java,0,0,0,0,0,0,21,14,0,0,0,0,0,,2.692307692
core/src/main/java/org/apache/cxf/service/factory/AnnotationsFactoryBeanListener.java,0,0,0,0,0,0,0,9,0,0,0,0,0,,0.692307692
systests/ws-rm/src/test/java/org/apache/cxf/systest/ws/rm/inactivity-timeout.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
